Key,Italiana
map.lord_rebellion_king,Protezione contro la rivolta
map.hire_bandits,Assolda fuorilegge
map.solders_gift,Offri aiuto
map.appoint.events,Eventi
map.category.criminals,Azioni maligne
map.category.politics,Politica
map.category.attack,Attacco
map.category.marriage,Matrimonio
map.category.trade,Commercio
map.abandoned_town,Città abbandonata
map.marriage_female,Sposa da maritare
map.marriage_male,Sposo da ammogliare
map.loan,Prestito di denaro
map.king_tribute,Minaccia di razzia
map.king_tribute_light,Richiesta cortese di tributo
map.demand_tribute,Richiesta cortese di tributo
map.assault_fair,Razzia della città
map.assault_unfair,Razzia della città
map.city_burn_ai,Minaccia di distruzione
map.demand_peace,Proposta di un trattato di pace
map.declared_peace_broken,Trattato di pace sciolto
map.trade_agreement_broken,Accordo commerciale concluso
map.declared_peace,Accordo di pace
map.demand_defence_alliance_to_player,Proposta di alleanza
map.declared_defence_alliance,Alleanza di città libere
map.demand_defence_ally_army,Richiesta di aiuto
map.demand_vassal_waiting,In attesa di risposta
map.demand_vassal_attack_waiting,In attesa di un attacco
map.demand_vassal_light_player,Richiesta di vassallaggio
map.demand_vassal_player,Richiesta di vassallaggio
map.help_against_faceless,Aiuto contro l'Orda profana
map.demand_kill_own_bandits_camp,Richiesta di eliminazione dei fuorilegge
map.conquest,Ristabilimento del vassallaggio
map.king_attack,Richiesta di assedio
map.demand_attack,Richiesta di assedio
map.slaves_offer,Vendita di prigionieri
map.trade_offer,Offerta commerciale
map.trade_request,Richiesta commerciale
map.village,Villaggio
map.village_neighbore,Villaggio di un monarca vicino
map.village.short,"Piccolo insediamento senza accesso a commercio, ferro o attrezzi avanzati."
map.burned_village,Villaggio bruciato
map.burned_village.short,"Villaggio bruciato e saccheggiato. Per ora è disabitato ma, tra qualche tempo, gli abitanti che hanno trovato rifugio nelle foreste circostanti torneranno a ricostruirlo."
map.protect,Minaccia di attacco
map.protect.short,Un gruppo di fuorilegge si sta radunando nei pressi del villaggio.
map.tribute,Tributo
map.tribute.short,Il villaggio ha accumulato il raccolto ed è pronto a versarti un tributo.
map.mill,Miglioramento del mulino
map.mill.short,L'anziano del villaggio ha intenzione di migliorare il mulino.
map.hungry,Carestia
map.hungry.short,Il raccolto del villaggio è scarso. C'è bisogno di cibo.
map.sick,Pestilenza
map.sick.short,È scoppiata un'epidemia. Servono urgentemente medicinali.
map.meat,Nuovo porcile
map.meat.short,Gli abitanti chiedono aiuto con la costruzione di un porcile.
map.bandits_camp,Accampamento fuorilegge foreste
map.bandits_camp.short,Abitato dai fuorilegge delle foreste. Talvolta attaccheranno il tuo insediamento.
map.bandits_hostage,Ostaggio - {lord_name}
map.bandits_hostage.short,Un nobile è tenuto in ostaggio ed è richiesto un riscatto.
map.wolfes,Lupi nelle vicinanze
map.wolfes.short,Un branco di lupi ha bloccato la strada verso il tuo insediamento. Potrebbero andarsene presto.
map.slaves,Prigionieri fuggitivi
map.slaves.short,Un gruppo di prigionieri fuggiti da {city_name} è stato avvistato nei pressi della tua città.
map.fanatics,Gruppo di flagellanti
map.fanatics.short,Un piccolo gruppo di pellegrini flagellanti chiede del cibo.
map.theif,Ladro in fuga
map.theif.short,"Un ladro, recentemente attivo a {city_name}, è stato avvistato nelle vicinanze."
map.lord_in_run,Nobile in fuga
map.lord_in_run.short,Un nobile di {house_name_1} è sfuggito alla prigionia di {house_name_2}. Gli inseguitori si avvicinano.
map.lord_in_run_2,Nobile in fuga
maplord_in_run_2.short,Un nobile di {house_name_1} è in fuga dai fuorilegge. Le sue truppe scarseggiano.
map.lord_in_run_3,Nobile in fuga
map.lord_in_run_3.short,Un nobile di {house_name_1} ha deciso di lasciare la sua casa e cercare rifugio altrove.
map.lovers_in_run,
map.lovers_in_run.short,Due giovani di casate diverse si sono innamorati e sono fuggiti.
map.caravan,Carovana protetta
map.caravan.short,Una carovana di {house_name_1} carica di merci e prigionieri è diretta a {city_name_2}.
map.dispute,
map.dispute.short,Due casate si contendono la proprietà del villaggio. Puoi dare il tuo sostegno a una delle due.
map.bride,Una giovane è in cerca di marito.
map.bride.short,"{soul_uuid_bride} è in età da matrimonio, e il monarca sta cercando pretendenti adatti."
map.groom,Un giovane è in cerca di moglie.
map.groom.short,"{soul_uuid_groom} è in età da matrimonio, e il monarca sta cercando pretendenti adatte."
map.q_hermit,
map.long.q_hermit,
map.q_hermit.short,
map.risk.q_hermit,
map.menu.quest.description,DESCRIZIONE
map.menu.quest.details,Dettagli
map.menu.quest.consequences,Possibili conseguenze
map.menu.quest.reward,POSSIBILE RICOMPENSA
map.menu.quest.reward_or,o
map.menu.status.days_left,Giorni rimasti: {remain_days}
map.menu.modal.result.success,Successo!
map.menu.modal.result.fail,Fallimento!
map.menu.modal.ok,Ok
map.menu.status.timeless,Indefinito
map.menu.status.go_home,Di ritorno a casa
map.menu.quest.ignore,Noncurante
map.menu.quest.waiting,In attesa
map.menu.quest.time_over,Accordo scaduto
map.menu.quest.tragic,Tragico incidente
map.menu.quest.bad_opinion,Pessimi rapporti
map.menu.quest.hostage_rescue,Liberazione di un ostaggio
map.menu.button.create_army,Crea nuova squadra
map.menu.button.send_army,Invia
map.menu.prepare_to_battle.header,Battaglia a {place}
map.menu.prepare_to_battle.in_town,alle porte di {town_name}
map.menu.prepare_to_battle.near_town,nei pressi di {town_name}
map.menu.prepare_to_battle.battle_begin,La battaglia è iniziata
map.menu.town.guest_lords,Nobili come ospiti
map.menu.town.information,Informazioni
map.menu.town.economic,Economia
map.menu.town.army,Esercito
map.menu.army_composition,Composizione dell'esercito
map.menu.town.local_lords,Nobili
map.menu.town.ruling_family,Famiglia regnante
map.menu.town.status.hostile,Ostile
map.menu.town.status.friendly,Cordiale
map.menu.town.status.neutral,Neutrale
map.menu.town.status.independent,Indipendente
map.menu.town.status.vassal,Vassalla
map.menu.town.status.suzerain,Sovrana
map.menu.town.relations,Rapporti
map.menu.messenger,Messaggero
map.army,Esercito
map.declared_trade_agreement,Accordo commerciale
map.forcing_neutrality,Neutralità forzata
map.personal_conflict,Conflitto tra vicini
map.help_against_bandits,Aiuto contro i fuorilegge
map.help_against_mountains_bandits,Aiuto contro i predoni
map.neutralization_order,Ordine di neutralizzazione
map.menu.town.status.ally,Nell'alleanza
map.menu.town.status.alliance_leader,Leader dell'alleanza
map.stolen_rings_offer,Anelli sacri rubati
map.holy_defence_was_removed,"<red>La protezione della Famiglia benevola è stata revocata!</red>
 
 Un'azione aggressiva significa che non hai più bisogno della <hint=hint_holy_protection>protezione della Famiglia benevola</hint>."
map.holy_defence_will_be_removed,<hint=hint_holy_protection>La protezione della Famiglia benevola</hint> verrà revocata!
map.trade.offer.alias,La città vende: {resource_name}
map.trade.request.alias,La città compra: {resource_name}
map.menu.town.king_family,FAMIGLIA MONARCA
map.menu.town.guests,OSPITI
map.menu.town.faction_lords,NOBILI DI {town}
map.menu.town.vassal_of,Vassallo di
map.menu.town.ally_of,Alleato di
map.player_vassal_rebellion,Vassallo ribelle
product_change_price.rats_invasion,"A causa di un'<hint=hint_prophecy_rats_invasion>invasione di ratti</hint>, il prezzo è aumentato del <red>{price_factor}%</red>."
product_change_price.tree_bug,"A causa dei <hint=hint_prophecy_tree_bug>tarli del legno</hint>, il prezzo è aumentato del <red>{price_factor}%</red>."
product_change_price.fields_sick,"A causa di una <hint=hint_prophecy_fields_sick_one>pestilenza delle colture</hint>, il prezzo è aumentato del <red>{price_factor}%</red>."
map.universal_help.danger_army,<center>Esercito dell'aggressore:</center>
map.appoint.estimated_time,Tempo di completamento del compito stimato: {estimated_time}
map.appoint.estimated_time_army,Percorrere la strada richiederà {estimated_time}
map.appoint.tasks,Azioni
map.category.improve_relations,Miglioramento rapporti
map.guest.remain_stay_time,"<tight><center><b>Il personaggio è fuori città</b></center>.
 
 </tight>Questo personaggio è attualmente ospite presso la città di {faction_uuid}.
 
 Probabilmente tornerà a casa tra {remain_time}."
map.your_province,La tua provincia
map.burn_town_waiting,Preparazioni per bruciare la città
map.last_female_in_faction,Ti resta un'ultima donna non sposata
map.defence_alliance_leaving_ai,Conflitto con un alleato
map.defence_alliance_leaving_player,Conflitto con il capo dell'alleanza
product_change_price.temporary,Aumento del prezzo temporaneo del <red>{price_factor}%</red>
actor.deep_social_alias.abuse_1,{name_initiator} ha umiliato {name_target}
actor.deep_social_alias.abuse_2,{name_initiator} ha insultato {name_target}
actor.deep_social_alias.abuse_3,{name_initiator} ha ingiuriato {name_target}
actor.deep_social_alias.abuse_4,{name_initiator} ha oltraggiato {name_target}
actor.deep_social_alias.abuse_5,{name_initiator} ha trascinato {name_target} nel fango
actor.deep_social_alias.abuse_6,{name_initiator} ha distrutto {name_target} emotivamente
actor.deep_social_alias.abuse_7,{name_initiator} ha zittito {name_target}
actor.deep_social_alias.deep_talk_1,{name_initiator} ha elogiato {name_target}
actor.deep_social_alias.deep_talk_2,{name_initiator} ha avuto una conversazione sincera con {name_target}
actor.deep_social_alias.deep_talk_3,{name_initiator} ha confortato {name_target}
actor.deep_social_alias.deep_talk_4,{name_initiator} ha rallegrato {name_target}
actor.deep_social_alias.deep_talk_5,{name_initiator} ha ringraziato {name_target}
actor.deep_social_alias.deep_talk_6,{name_initiator} ha fatto un complimento a {name_target}
actor.deep_social_alias.deep_talk_7,{name_initiator} ha dato credito a {name_target}
actor.deep_social_alias.evil_joke_1,{name_initiator} ha schernito {name_target}
actor.deep_social_alias.evil_joke_2,{name_initiator} ha fatto fare brutta figura a {name_target}
actor.deep_social_alias.evil_joke_3,{name_initiator} ha provocato {name_target}
actor.deep_social_alias.evil_joke_4,{name_initiator} ha messo in ridicolo {name_target}
actor.deep_social_alias.evil_joke_5,{name_initiator} ha canzonato {name_target}
actor.deep_social_alias.evil_joke_6,{name_initiator} ha deriso {name_target} in modo sarcastico
actor.deep_social_alias.flattery_1,{name_target} ha adulato {name_initiator}
actor.deep_social_alias.flattery_2,{name_initiator} ha lusingato {name_target}
actor.deep_social_alias.flattery_3,{name_initiator} ha conquistato le grazie di {name_target}
actor.deep_social_alias.flattery_4,{name_initiator} ha ossequiato {name_target}
actor.deep_social_alias.flattery_5,{name_initiator} ha ammirato {name_target} in modo poco sincero
actor.deep_social_alias.flattery_6,{name_initiator} ha lodato {name_target}
actor.deep_social_alias.flattery_7,{name_initiator} ha compiaciuto l'ego di {name_target}
actor.deep_social_alias.good_joke_1,{name_initiator} ha avuto uno scambio arguto con {name_target}
actor.deep_social_alias.good_joke_2,{name_initiator} ha raccontato una barzelletta a {name_target}
actor.deep_social_alias.good_joke_3,{name_initiator} ha riso di cuore con {name_target}
actor.deep_social_alias.good_joke_4,{name_initiator} ha condiviso un aneddoto con {name_target}
actor.deep_social_alias.good_joke_5,{name_initiator} ha messo in scena una parodia per {name_target}
actor.deep_social_alias.intrigue_1,{name_initiator} ha condiviso indiscrezioni con {name_target}
actor.deep_social_alias.intrigue_2,{name_initiator} ha rivelato tutta la verità a {name_target}
actor.deep_social_alias.intrigue_3,{name_initiator} ha confermato i timori di {name_target}
actor.deep_social_alias.intrigue_4,{name_initiator} ha condiviso un segreto con {name_target}
actor.deep_social_alias.intrigue_5,{name_initiator} ha aperto gli occhi di {name_target}
actor.deep_social_alias.intrigue_6,{name_initiator} ha svelato la vera natura di {name_target}
actor.deep_social_alias.intrigue_7,{name_initiator} ha fatto un'allusione a {name_target}
actor.deep_social_alias.slight_1,{name_initiator} ha disprezzato {name_target}
actor.deep_social_alias.slight_2,{name_initiator} ha ignorato {name_target}
actor.deep_social_alias.slight_3,{name_initiator} ha rimesso {name_target} al suo posto
actor.deep_social_alias.slight_4,{name_initiator} ha finto di non sentire {name_target}
actor.deep_social_alias.sorry_1,{name_initiator} ha porto le sue scuse a {name_target}
actor.deep_social_alias.bye_1,{name_initiator} ha salutato {name_target} prima di andarsene.
actor.deep_social_alias.bye_2,{name_initiator} ha promesso a {name_target} che tornerà il prima possibile.
actor.deep_social_alias.bye_3,{name_target} augura un buon viaggio a {name_initiator}.
actor.deep_social_alias.flirt_1,{name_initiator} sta tentando di sedurre {name_target}
actor.deep_social_alias.flirt_2,{name_initiator} ha invitato {name_target} a un incontro romantico
actor.deep_social_alias.flirt_3,{name_initiator} sta seducendo in modo pericoloso {name_target}
actor.deep_social_alias.flirt_4,{name_initiator} ha promesso una notte bollente a {name_target}
opinion_mind_interest.hint_title,Interesse: {interest}
opinion_mind_interest.zodiak_signs,Odore
opinion_mind_interest.beauty,Aspetto
opinion_mind_interest.age,Fascino della gioventù
opinion_mind_interest.drank,Influenza degli alcolici
opinion_mind_interest.love,Amore
opinion_mind_interest.religious_fan,Dissensi religiosi
opinion_mind_interest.scars,Cicatrici
opinion_mind_interest.ugly,Sfiguramento
opinion_mind_interest.romantic,Bisogno di sesso
opinion_mind_interest.opinion,Rapporti
opinion_mind_interest.manners,Differenza nei modi
opinion_mind_interest.guest,Ospite
opinion_mind_interest.has_paramour,Sentimenti per partner attuale
opinion_mind_rumor_prefix,Indiscrezione: {rumor}
opinion_mind.abuse,Mi ha insultato
opinion_mind.abuse_paramour,Ha insultato il partner
opinion_mind.adultery,Ignora la mia infedeltà
opinion_mind.blinded_relative,Accecamento di una persona cara
opinion_mind.bribe_me,Mi ha corrotto
opinion_mind.chitchat,Chiacchiere
opinion_mind.close_relative,Parente prossimo
opinion_mind.convicted_of_adultery,Tradimento del partner
opinion_mind.coward,Codardia
opinion_mind.criminal,Coinvolgimento nella criminalità
opinion_mind.deep_talk,Conversazione profonda
opinion_mind.drunk_fight,Rissa tra ubriachi
opinion_mind.beat_me,Mi ha picchiato
opinion_mind.envy_happy,Troppa felicità!
opinion_mind.envy_runes,Invidia degli anelli
opinion_mind.envy_for_babys,Invidia della prole
opinion_mind.envy_for_victory,Invidia delle vittorie
opinion_mind.evil_joke,Mi ha schernito!
opinion_mind.ex_paramour,Ex partner
opinion_mind.executed_relative,Esecuzione di una persona cara
opinion_mind.punished_me,Mi ha castigato!
opinion_mind.flattery,Mi ha adulato
opinion_mind.flirt,Incontro romantico imminente
opinion_mind.game_of_dice_loose,Mi ha sconfitto a dadi!
opinion_mind.gift,Mi ha dato un dono
opinion_mind.good_commander,Comandante di successo
opinion_mind.good_joke,Risate insieme!
opinion_mind.king_gift,Mi ha dato un dono regale
opinion_mind.heir_envy,Desiderio del trono
opinion_mind.hunt_together,Caccia insieme
opinion_mind.intrigue,Indiscrezioni scabrose
opinion_mind.sorry,Scuse
opinion_mind.jealousy,Rivalità
opinion_mind.love,Mi fa battere il cuore!
opinion_mind.negative_rumor_1,Mangia di notte
opinion_mind.negative_rumor_10,Vuole andarsene per sempre
opinion_mind.negative_rumor_11,Soffre di una malattia venerea
opinion_mind.negative_rumor_12,Bagna il letto
opinion_mind.negative_rumor_13,Accumula spazzatura
opinion_mind.negative_rumor_14,Ateismo in segreto
opinion_mind.negative_rumor_15,Dorme per terra
opinion_mind.negative_rumor_16,Piromania in segreto
opinion_mind.negative_rumor_17,Si lava raramente
opinion_mind.negative_rumor_18,Finisce sempre gli avanzi
opinion_mind.negative_rumor_19,Gira senza indumenti di notte
opinion_mind.negative_rumor_2,Si scaccola
opinion_mind.negative_rumor_20,Possessione di spirito maligno
opinion_mind.negative_rumor_21,Adora un ceppo
opinion_mind.negative_rumor_22,Non può fare sesso
opinion_mind.negative_rumor_23,Si gratta le ascelle
opinion_mind.negative_rumor_24,Mangia insetti
opinion_mind.negative_rumor_25,Grida di notte
opinion_mind.negative_rumor_3,Sbircia i servitori
opinion_mind.negative_rumor_4,Emette flatulenze
opinion_mind.negative_rumor_6,Beve molto
opinion_mind.negative_rumor_7,Critica gli altri
opinion_mind.negative_rumor_8,Ruba gli attrezzi
opinion_mind.negative_rumor_9,Perde i capelli
opinion_mind.night_murder,Crudele omicida
opinion_mind.other_relatives,Altri parenti
opinion_mind.paramour,Anima gemella
opinion_mind.paranoid_hate,Odio paranoico
opinion_mind.personality_arrogant,Disprezza la povertà
opinion_mind.personality_contradictory_hate,Odio inspiegabile
opinion_mind.personality_contradictory_love,Amore inspiegabile
opinion_mind.personality_mismatch,Personalità sgradevole
opinion_mind.personality_mismatch_heavy,Personalità assai sgradevole
opinion_mind.positive_rumor_1,Scrive poesie in segreto
opinion_mind.positive_rumor_10,Romanticismo in segreto
opinion_mind.positive_rumor_11,Rimpiange il passato
opinion_mind.positive_rumor_12,Vede i defunti
opinion_mind.positive_rumor_13,Malattia terminale
opinion_mind.positive_rumor_15,Adora i bambini
opinion_mind.positive_rumor_16,Ha un ratto domestico
opinion_mind.positive_rumor_17,Possiede abilità ipnotiche
opinion_mind.positive_rumor_18,Amore segreto
opinion_mind.positive_rumor_2,Dolce a letto
opinion_mind.positive_rumor_3,Depressione repressa
opinion_mind.positive_rumor_4,Senso di colpa
opinion_mind.positive_rumor_5,Pianta fiori
opinion_mind.positive_rumor_6,Sogna di imparare a volare
opinion_mind.positive_rumor_7,Colleziona fibbie
opinion_mind.positive_rumor_8,Aiuta gli infermi in segreto
opinion_mind.positive_rumor_9,Può farlo cinque volte a notte
opinion_mind.pretender_envy,Invidia dell'erede
opinion_mind.refuse_flirt,Rifiuto di incontro romantico
opinion_mind.refuse_flirt_full,Mi ha rifiutato! Come osa!
opinion_mind.reward_me,Mi ha ricompensato
opinion_mind.sex,Passato la notte insieme!
opinion_mind.shame_relative,Disonore di una persona cara
opinion_mind.slight,Mi ha disprezzato
opinion_mind.spouse,Coniuge
opinion_mind.suspicion_of_adultery,Sospetto di adulterio
opinion_mind.try_to_kill_me,Ha cercato di uccidermi!
opinion_mind.manners_good,Buone maniere
opinion_mind.manners_too_high,Maniere troppo impeccabili
opinion_mind.manners_too_low,Rudezza
opinion_mind.pregnancy_father,Padre della mia prole
opinion_mind.pregnancy_mother,Madre della mia prole
opinion_mind.dummy_bastard,Prole illegittima di un popolano
opinion_mind.lord_bastard,Prole illegittima di un nobile
opinion_mind.child,La mia prole
opinion_mind.parent,Il mio genitore
opinion_mind.rescued_from_captivity,Mi ha salvato dalla prigionia!
opinion_mind.speeping_with_my_partner,Va a letto col mio partner!
opinion_mind.uncle,Zio/Zia
opinion_mind.nephew,Nipote
opinion_mind.brother,Fratello/Sorella
opinion_mind.related_marriage,Parentela tramite matrimonio
opinion_mind.returned_debt,Ha saldato un debito
opinion_mind.not_returned_debt,Ha tradito la mia fiducia
opinion_mind.not_returned_debt_neighbor,Debitore verso un vicino
opinion_mind.player_paid_tribute,Mi ha pagato un tributo
opinion_mind.player_refuse_to_pay,Rifiuta di pagare
opinion_mind.king_demand_pay,Mi ha estorto un tributo
opinion_mind.attacked_me,Mi ha attaccato
opinion_mind.attack_neighbors,Attacca i vicini
opinion_mind.attack_traity,Aggressione nei miei confronti
opinion_mind.attack_traity_neighbors,Aggressione contro un vicino
opinion_mind.attack_coward,Ha disertato un duello
opinion_mind.vassal,Il mio vassallo
opinion_mind.senior,Il mio superiore
opinion_mind.vassal_duty_did,Buon vassallo
opinion_mind.betrayal,Mi ha tradito
opinion_mind.betray_vassal_oath,Giuramento di vassallo infranto
opinion_mind.king_bastard,I bastardi non meritano la corona!
opinion_mind.king_woman,Le donne non meritano la corona!
opinion_mind.greetings_me,Mi ha salutato
opinion_mind.loot_my_village,Saccheggio del mio villaggio
opinion_mind.friend_of_bandits,Commercia con i fuorilegge
opinion_mind.enemy_of_bandits,Sconfigge i fuorilegge
opinion_mind.killed_wolves,Ha ucciso un branco di lupi
opinion_mind.kicked_out,Mi ha esiliato
opinion_mind.take_title,Mi ha tolto il titolo
opinion_mind.kicked_out_my_lord,Ha esiliato un mio nobile
opinion_mind.discharge,Distensione dei rapporti
opinion_mind.free_lord_terror,Complottato contro nobile libero
opinion_mind.my_teacher,Il mio insegnante
opinion_mind.dictator_habits,Inclinazioni dittatoriali
opinion_mind.threatened_me,Mi ha minacciato
opinion_mind.crime_criminal_not_punished,Un criminale è rimasto impunito
opinion_mind.friend_of_my_child,Amico della prole
opinion_mind.best_friend_of_my_child,Migliore amico della prole
opinion_mind.enemy_of_my_child,Nemico della prole
opinion_mind.worst_enemy_of_my_child,Nemico mortale della prole
opinion_mind.friend_of_my_spouce,Amico del coniuge
opinion_mind.best_friend_of_my_spouce,Migliore amico del coniuge
opinion_mind.enemy_of_my_spouce,Nemico del coniuge
opinion_mind.worst_enemy_of_my_spouce,Nemico mortale del coniuge
opinion_mind.sex_with_other,La mia dolce metà è andata a letto con altri
opinion_mind.caring_parent,Genitore amorevole
opinion_mind.good_child,Prole obbediente
opinion_mind.start_friend,Alleanza di vecchia data
opinion_mind.start_sympathy,Solidarietà
opinion_mind.start_dislike,Avversione
opinion_mind.start_enemy,Rivalità giurata
opinion_mind.too_smart,Troppo intelligente
opinion_mind.sinner,Peccato (fanatismo)
opinion_mind.was_punished,Ha ricevuto un castigo
opinion_mind.trade_with_enemy,Ha commerciato con il nemico
opinion_mind.dont_kill_bandits,Non ha eliminato i fuorilegge
opinion_mind.kill_not_own_bandits,Si immischia negli affari altrui
opinion_mind.killed_my_friend,Ha ucciso un amico
opinion_mind.killed_my_enemy,Ha ucciso un nemico
opinion_mind.first_night_together,Prima notte insieme
opinion_mind.loot_vassal_village,Saccheggio di villaggio del vassallo
opinion_mind.trade_with_me,Accordo fruttuoso
opinion_mind.victorious_generosity,Generosità del vincitore
opinion_mind.knocked_up_my_daughter,Ha messo incinta mia figlia
opinion_mind.rebelled_against_kin,Ribellione contro il monarca
opinion_mind.traitors_slander,Calunnia di traditori
opinion_mind.not_control_own_bandits,Non controlla i suoi fuorilegge
opinion_mind.unholly_hospitality,Sacralità dell'accoglienza violata
opinion_mind.demand_vassalage_to_me,Ha tentato di sottomettermi
opinion_mind.mind_kidnaper,Rapimento
opinion_mind.mind_kidnaper_neighbore,Ha rapito un nobile del vicino
opinion_mind.mind_assassinate,Ha inviato un assassino
opinion_mind.mind_assassinate_neighbore,Ha inviato assassini al vicino
opinion_mind.dead_captive,L'ostaggio è morto
opinion_mind.captive_hold,Trattiene un ostaggio
opinion_mind.release_captive,Ha rilasciato un ostaggio
opinion_mind.captive_terror,Tortura un ostaggio
opinion_mind.lord_rebellion_support_heir_to_heir,Ha appoggiato una rivolta
opinion_mind.lord_rebellion_support_king_to_heir,Non ha appoggiato una rivolta
opinion_mind.lord_rebellion_support_heir_to_king,Non ha sostenuto la legittima autorità
opinion_mind.lord_rebellion_support_king_to_king,Ha sostenuto la legittima autorità
opinion_mind.poaching_my_lords,Deruba i miei nobili
opinion_mind.betrayed_home,Ha tradito la sua patria
opinion_mind.book_stealer,Ha rubato alcuni libri
opinion_mind.gold_stealer,Ha commesso una rapina
opinion_mind.refuse_light_vassals,Ha rifiutato il legame di vassallaggio
opinion_mind.showed_weakness,Ha mostrato debolezza
opinion_mind.guest_death_for_owners,Morte sospetta di un familiare
opinion_mind.guest_death_for_opponents,Morte sospetta di un ospite
opinion_mind.faceless,Orda profana
opinion_mind.not_faceless,Non dell'Orda profana
opinion_mind.hate_males,Odio verso gli uomini
opinion_mind.hate_females,Odio verso le donne
opinion_mind.blissful,Beatitudine
opinion_mind.saint,Santità
opinion_mind.drug_addict,Dipendenza
opinion_mind.coward,Codardia
opinion_mind.help_against_facelesse,Ha aiutato contro l'Orda profana
opinion_mind.tried_to_poison,Tentato avvelenamento
opinion_mind.tried_to_poison_my_member,Ha tentato di avvelenare un mio nobile
opinion_mind.greedy,Avidità
opinion_mind.king_role_weaker_than_me,Più debole di me (Kaiden)
opinion_mind.king_role_stronger_than_me,Più forte di me (Kaiden)
opinion_mind.king_role_poorer_than_me,Più indigente di me (Makha)
opinion_mind.king_role_reacher_than_me,Più benestante di me (Makha)
opinion_mind.king_role_agnostic,Agnosticismo (Tanaya)
opinion_mind.king_role_fanatic,Fanatismo (Tanaya)
opinion_mind.king_role_bandit_torelate,Tolleranza dei fuorilegge (Kaiden)
opinion_mind.king_role_fight_with_bandit,Battaglie contro i fuorilegge (Kaiden)
opinion_mind.king_role_many_slaves,Molti prigionieri (Varn)
opinion_mind.king_role_no_slaves,Nessun prigioniero (Varn)
opinion_mind.king_role_vassal,Vassallo (Varn)
opinion_mind.king_role_suzerain,Sovrano (Varn)
opinion_mind.king_role_dumber_than_me,Più ignorante di me (Makha)
opinion_mind.king_role_smarter_than_me,Più intelligente di me (Makha)
opinion_mind.women_king,Donna sul trono
opinion_mind.disinherited_me,Mi ha sottratto l'eredità
opinion_mind.illigal_heir,Erede illegittimo
opinion_mind.few_fanatics,Mancanza di fanatici
opinion_mind.few_churchs,Templi insufficienti
opinion_mind.enough_fanatics,Molti fanatici in città
opinion_mind.enough_churchs,Numero di templi sufficiente
opinion_mind.blissful,Beatitudine
opinion_mind.provoke_duel,Ha provocato un duello
opinion_mind.provoke_duel_neighbore,Ha provocato un duello con un vicino
opinion_mind.declare_peace,Trattato di pace
opinion_mind.trade_agreement,Accordo commerciale
opinion_mind.cruel_ruler,Monarca ingannevole
opinion_mind.bishop_frogivness,Ha ottenuto il perdono
opinion_mind.enemy_of_bandits_bishop,Ha distrutto l'accampamento dei fuorilegge
opinion_mind.pitty,Compassione
opinion_mind.help_in_rescue,Aiuto con la liberazione
opinion_mind.lord_lowborn,Bassa nobiltà
opinion_mind.matriarch_fanatic_mind,Numero di fanatici in città ({percent})
opinion_mind.friend_lost_title,Ha revocato il titolo di un amico
opinion_mind.bishop_opinion,Opinione del vescovo
opinion_mind.defence_alliance_lost_soldier,Perdite tra i rinforzi
opinion_mind.defence_alliance_lost_lord,Comandante dei rinforzi deceduto
opinion_mind.defence_alliance_broken,Alleanza sciolta
opinion_mind.defence_alliance,Parte della mia stessa alleanza
opinion_mind.defence_alliance_send_army,Onora l'alleanza
opinion_mind.defence_alliance_broken_neighbore,Ha tradito un alleato
opinion_mind.new_bishop,Nuovo episcopato
opinion_mind.enemy_of_my_ally,Ostilità verso un mio alleato
opinion_mind.ally_of_my_enemy,Alleanza al mio nemico
opinion_mind.same_culture,Stessa cultura
opinion_mind.xenophobic_culture,Cultura detestata
opinion_mind.slander_to_other_king,Nutre rancore verso un altro monarca
opinion_mind.slander_from_other_king,Diffamazione
opinion_mind.help_in_vassal_riot_to_vassal,Ha aiutato nella lotta all'indipendenza
opinion_mind.help_in_vassal_riot_to_sir,Ha aiutato un vassallo ribelle
opinion_mind.help_in_lords_family_attack_to_victim,Ha aiutato a difendere una città
opinion_mind.help_in_lords_family_attack_to_attacker,Ha aiutato a respingere il nostro attacco
opinion_mind.help_in_lords_family_destroy_to_victim,Ha aiutato a salvare la città dalla distruzione
opinion_mind.help_in_lords_family_destroy_to_attacker,Ha aiutato a salvare la città dalla distruzione
opinion_mind.help_in_mountais_bandits_attack,Ha aiutato a eliminare i predoni
opinion_mind.helped_tanaya_king,Aiuta i monarchi di Tanaya
opinion_mind.helped_makha_king,Aiuta i monarchi di Makha
opinion_mind.rival_for_power,Rivalità per il potere
opinion_mind.crown_desire,Desiderio della corona
opinion_mind.bishop_to_fanatic,Fanatismo
opinion_mind.bishop_to_agnostic,Agnosticismo
opinion_mind.transfered_king,Ha ceduto la corona
opinion_mind.distrust,Diffidenza
opinion_mind.try_to_vassal_my_vassal,Tenta la conquista del mio vassallo
opinion_mind.contempt_of_genius,Gli altri sovrani sono nullità!
opinion_mind.force_neutrality_my_ally,Ha costretto un alleato alla neutralità
opinion_mind.force_neutrality_my_vassal,Ha costretto un vassallo alla neutralità
opinion_mind.force_neutrality_me,Mi ha costretto alla neutralità
opinion_mind.force_neutrality_to_leader,Ha infranto un accordo
opinion_mind.competitor_for_influence,Rivalità per l'influenza
opinion_mind.ally_was_attacked,Ha attaccato un mio alleato
opinion_mind.vassal_was_attacked,Ha attaccato un mio vassallo
opinion_mind.spouses_opinion_about_king,Opinione del coniuge
opinion_mind.sir_of_my_enemy,Sovrano del mio nemico
