Key,Ukrainian
prophecy.letter_announce.fanatics_wave,"Провидці кажуть, що бачили в хмарах божевільних людей, які стояли із хрестами в руках, що палали. Їх багато, як і люті в їхніх серцях!"
prophecy.letter_announce.fields_sick_all,"Місяць не сходить десять днів поспіль. Стародавні книги пишуть, що це передвісник неврожаю й голоду. Нехай вам допомагає Свята Софія!"
prophecy.letter_announce.tree_bug,"Мені наснився поганий сон. Темні стовбури голих дерев, як нерухомі статуї, стояли на місці ваших зелених лісів. Сподіваюся, ви знаєте, що робити!"
prophecy.letter_announce.rats_invasion,"В нектарному забутті мені явилося видіння. На вівтарі я побачив пацюка, який пожирав м’ясо щойно народженого ягняти. Я віщую голод і біду у вашому королівстві!"
prophecy.letter.finish,"Наші караванники кажуть, що чорна тінь лиха відступила. Сподіваюся, що всі ваші близькі живі й здорові. Але, боюся, це не останнє випробування, яке посилає нам Мати Софія за наші гріхи."
letter.sign.matriarch,"З ніжністю в серці,
Матріарх"
letter.post.diplomat_1,"Воістину, від серця зізнаюсь, що на сприятливий результат мені чекати не доводилось. Але ж яке то щастя, що наша ворожнеча залишилася в минулому. А минуле має залишатися в минулому."
letter.post.diplomat_2,"Мушу визнати, я ціную ваші зусилля щодо відновлення миру між нашими королівствами. Однак благородство вашого вчинку не викликає моєї довіри віднині."
letter.post.vassal_out_1,"Знайте, що більше я вам не підкорюся. У пошуках причини мого непослуху подивіться в дзеркало. У скрутну годину ви кинули мене. Відтепер ваше королівство точитиметься у зневазі."
letter.post.vassal_out_2,"Обітницю військової допомоги ви дали, отримавши мою згоду стати вашим васалом. Та ці слова пусті. Ви отримали вами призначену данину без обиняк і безсовісно кинули мене в тяжку хвилину. Відтепер із васалітетом покінчено."
letter.emperor,"Нам дуже прикро, що ваша гординя довела вас до такого блюзнірства, що ви вирішили зруйнувати божественний лад світу, встановлений самою Матір'ю Софією. На жаль, умовляння тут не допоможуть. Суворий Батько і його товариші-інквізитори готуються виступати в похід. Хай змилосердиться над вами Софія!"
letter.start.matriarch,Улюблене чадо!
letter.tax_increase,"Наші серця сповнюються радістю, коли ми, Любляча сім'я, спостерігаємо за вашими політичними успіхами. Ще вчора ваша родина прополювала брукви, а тепер ви – голова держави, що диктуєте свою волю сусідам! Тому ми впевнені, що наша ініціатива трохи збільшити податок на ваших воїнів не стане для вас непосильним тягарем!"
letter.army_tax_increase_footer,"Через ваш вихід на велику політичну арену й зростання впливу Любляча сім'я вважає, що ви повинні зробити більший внесок у безпеку доріг.

Церква збільшує податок на воїнів, який тепер становитиме {new_tax} за одиницю навичок ведення бою кожного воїна (попередній податок {old_tax})."
faction.player_village,Селяни
faction.faceless,Нечиста орда
faction.forest_bandits,Лісові розбійники
faction.mercenaries,Найманці
faction.wolves,Плотожери
faction.inquisition,Інквізиція
faction.traders,Священний караван
faction.traders_slaves,Раби Священного каравану
faction.free_lords,Вільні вельможі
faction.holy_synod,Любляча сім'я
faction.rebellious_zealots,Бунтівні фанатики
faction.rebellious_slaves,Бунтівні раби
faction.rebellious_soldiers,Бунтівні солдати
faction.rebellious_heir,Сепаратисти
faction.mountain_bandits,Мародери
faction.hired_bandits,Найняті розбійники
faction.abandoned,Покинуте поселення
faction.low_loyalty,Відступники
faction.name.0,Силвергейвен
faction.name.1,Даст-Веллі
faction.name.2,Уіндпік
faction.name.3,Старстрим
faction.name.4,Мунлейк
faction.name.5,Спарксвіл
faction.name.6,Кристаллайт
faction.name.7,Стардейл
faction.name.8,Енчантмент
faction.name.9,Тривуд
faction.name.10,Мунрелм
faction.name.11,Ґрейтмист
faction.name.12,Брайтвейл
faction.name.13,Мистгейвен
faction.name.14,Ґолдшайр
faction.name.15,Спаркфол
faction.name.16,Лейкголд
faction.name.17,Драґонгорн
faction.name.18,Ґрінспайр
faction.name.19,Твайлайтон
faction.name.20,Кристаліа
faction.name.21,Вондерлор
faction.name.22,Фросткіп
faction.name.23,Біствуд
faction.name.24,Вейв-Маркет
faction.name.25,Оверґроуз
faction.name.26,Фейрітейл-Ґлен
faction.name.27,Айсі-Ґордж
faction.name.28,Дарквуд
faction.name.29,Мірор-Понд
faction.name.30,Твайлайт-Фортрес
faction.name.31,Дримфол
faction.name.32,Емералд-Ґіл
faction.name.33,Ґолдгейвен
faction.name.34,Силвер-Ривер
faction.name.35,Лост-Сіті
faction.name.36,Сандер-Пік
faction.name.37,Дастрок
faction.name.38,Ливин-Веллі
faction.name.39,Ембер-Дон
faction.name.40,Кристал-Кейв
faction.name.41,Емералд-Мейз
faction.name.42,Старі-Ґроув
faction.name.43,Блейз-Краун
faction.name.44,Ґолдгейвен
faction.name.45,Клирмун
faction.name.46,Уіндблейз
faction.name.47,Старгоум
faction.name.48,Рейвен-Таун
faction.name.49,Шадоуґлайд
faction.name.50,Спарквейл
faction.name.51,Тривуд
faction.name.52,Ґлимвейл
faction.name.53,Андеркіп
faction.name.54,Енчантедж
faction.name.55,Кристаллайт
faction.name.56,Форґотенрич
faction.name.57,Блейзфол
faction.name.58,Дримкрест
faction.name.59,Фростпік
faction.name.60,Ґрейтмист
faction.name.61,Бістгейвен
faction.name.62,Гіднспайр
faction.name.63,Оверкенйон
faction.name.64,Уінді-Медоу
faction.name.65,Дарк-Кейв
faction.name.66,Айсі-Кескейд
faction.name.67,Містик-Сіті
faction.name.68,Сайлент-Шор
faction.name.69,Денс-Сикет
faction.name.70,Блейзин-Дон
faction.name.71,Ливин-Оейзис
faction.name.72,Санлит-Еллі
faction.name.73,Місті-Брук
faction.name.74,Лост-Сентинел
faction.name.75,Ґолденспайк
faction.deserted_soldiers,Дезертири
faction.player_untitled,Менші вельможі
0map.appoint.sub_category.others,Інше
9map.appoint.sub_category.expansion,Розширення
8map.appoint.sub_category.others,Інше
product_change_price.neighbore_town_attacked,У зв'язку з нападом на місто {faction_uuid_town} ціна вища на <red>{price_factor}%</red>.
no_defence_allies,Без союзників
map.category.lords,Вельможі
map.hostage_player,Викуп за заручника
map.lord_low_loyalty,Вельможа може піти
map.lord_rebellion.nobody_support,Немає
map.lord_rebellion_heir,Заколот спадкоємця
map.lord_rebellion_king,Захист від заколоту
map.hire_bandits,Найняті розбійники
map.solders_gift,Запропонувати допомогу
map.appoint.events,Події
map.category.criminals,Темні справи
map.category.politics,Політика
map.category.attack,Напад
map.category.marriage,Шлюб
map.category.trade,Торгівля
map.abandoned_town,Покинуте місто
map.marriage_female,Наречена на видання
map.marriage_male,Наречений на видання
map.loan,Позика
map.king_tribute,Погроза грабунку
map.king_tribute_light,Ввічлива вимога данини
map.demand_tribute,Ввічлива вимога данини
map.assault_fair,Розграбувати місто
map.assault_unfair,Розграбувати місто
map.city_burn_ai,Погроза знищення
map.demand_peace,Пропозиція мирної угоди
map.declared_peace_broken,Мирну угоду розірвано
map.trade_agreement_broken,Торгову угоду розірвано
map.declared_peace,Мирна угода
map.demand_defence_alliance_to_player,Пропозиція союзу
map.declared_defence_alliance,Союз вільних міст
map.demand_defence_ally_army,Запит на допомогу
map.demand_vassal_waiting,Очікування відповіді
map.demand_vassal_attack_waiting,Очікування нападу
map.demand_vassal_light_player,Вимога стати васалом
map.demand_vassal_player,Вимога стати васалом
map.help_against_faceless,Допомога проти Нечистої орди
map.demand_kill_own_bandits_camp,Вимога знищення розбійників
map.conquest,Відновлення васалітету
map.king_attack,Вимога за облогу
map.demand_attack,Вимога за облогу
map.slaves_offer,Продаж в'язнів
map.trade_offer,Торгова пропозиція
map.trade_request,Запит на торгівлю
map.village,Село
map.village_neighbore,Село сусіднього монарха
map.village.short,"Маленьке село без доступу до торгівлі, заліза чи передових інструментів."
map.burned_village,Спалене село
map.burned_village.short,"Розграбоване й спалене село. За якийсь час його жителі, що ховалися в навколишніх лісах, повернуться додому й відбудують село, але наразі там нікого немає."
map.protect,Загроза нападу
map.protect.short,Біля села збирається розбійницька ватага.
map.tribute,Данина
map.tribute.short,- Село зібрало врожай і готове платити вам данину.
map.mill,Вдосконалення млина
map.mill.short,Старійшина села збирається вдосконалити млин.
map.hungry,Голод
map.hungry.short,У селі неврожай. Потрібна їжа.
map.sick,Мор
map.sick.short,Спалах хвороби. Терміново потрібні ліки.
map.meat,Новий свинарник
map.meat.short,Жителі просять допомогти збудувати новий свинарник.
map.bandits_camp,Табір лісових розбійників
map.bandits_camp.short,Помешкання лісових розбійників. Вони іноді нападатимуть на ваше поселення.
map.bandits_hostage,Заручник – {lord_name}
map.bandits_hostage.short,Вельможу тримають в заручниках і вимагають викуп.
map.wolfes,Плотожери близько
map.wolfes.short,"Зграя плотожерів перекрила шляхи до вашого поселення. Можливо, вони скоро підуть."
map.slaves,В'язні-втікачі
map.slaves.short,"Біля вашого поселення помітили групу в'язнів, які втекли з міста {city_name}."
map.fanatics,Група флагелантів
map.fanatics.short,Маленька група паломників-флагелантів просить їжі.
map.theif,Злодій-утікач
map.theif.short,"Неподалік бачили злодія, який недавно працював у місті {city_name}."
map.lord_in_run,Вельможа-утікач
map.lord_in_run.short,Вельможа з дому {house_name_1} втік із полону дому {house_name_2}. Погоня близько.
map.lord_in_run_2,Вельможа-утікач
maplord_in_run_2.short,Вельможу з дому {house_name_1} переслідують розбійники. Він на межі виснаження.
map.lord_in_run_3,Вельможа-утікач
map.lord_in_run_3.short,Вельможа з дому {house_name_1} вирішує покинути батьківщину й шукати притулку.
map.lovers_in_run,
map.lovers_in_run.short,Двоє молодих людей із різних шляхетних родин закохалися й утекли разом.
map.caravan,Захищений караван
map.caravan.short,Караван дому {house_name_1} із в'язнями й товарами на шляху до міста {city_name_2}.
map.dispute,
map.dispute.short,"Дві благородні родини сперечаються про те, кому належить село. Ви можете стати на чийсь бік."
map.bride,Наречена шукає пару.
map.bride.short,"{soul_uuid_bride} досягла шлюбного віку, і монарх шукає їй гідного чоловіка."
map.groom,Наречений шукає пару.
map.groom.short,"{soul_uuid_groom} досягнув шлюбного віку, і монарх шукає йому гідну дружину."
map.q_hermit,
map.long.q_hermit,
map.q_hermit.short,
map.risk.q_hermit,
map.menu.quest.description,ОПИС
map.menu.quest.details,Докладно
map.menu.quest.consequences,Можливі наслідки
map.menu.quest.reward,МОЖЛИВА ВИНАГОРОДА
map.menu.quest.reward_or,або
map.menu.status.days_left,Залишилося {remain_days} дн.
map.menu.modal.result.success,Успіх!
map.menu.modal.result.fail,Провал!
map.menu.modal.ok,ОК
map.menu.status.timeless,Невизначено
map.menu.status.go_home,Повертається додому
map.menu.quest.ignore,Ігнорує
map.menu.quest.waiting,Чекає
map.menu.quest.time_over,Сплив термін угоди
map.menu.quest.tragic,Трагічний випадок
map.menu.quest.bad_opinion,Погані взаємини
map.menu.quest.hostage_rescue,Порятунок заручника
map.menu.button.create_army,Створити новий загін
map.menu.button.send_army,Відправити
map.menu.prepare_to_battle.header,Битва ({place})
map.menu.prepare_to_battle.in_town,під брамою міста {town_name}
map.menu.prepare_to_battle.near_town,біля міста {town_name}
map.menu.prepare_to_battle.battle_begin,Битва розпочалася
map.menu.town.guest_lords,Вельможі-гості
map.menu.town.information,Інформація
map.menu.town.economic,Економіка
map.menu.town.army,Військо
map.menu.army_composition,Склад війська
map.menu.town.local_lords,Вельможі
map.menu.town.ruling_family,Правляча сім'я
map.menu.town.status.hostile,Вороже
map.menu.town.status.friendly,Дружнє
map.menu.town.status.neutral,Нейтральне
map.menu.town.status.independent,Незалежне
map.menu.town.status.vassal,Васал
map.menu.town.status.suzerain,Сюзерен
map.menu.town.relations,Взаємини
map.menu.messenger,Посланець
map.army,Військо
map.declared_trade_agreement,Торгова угода
map.forcing_neutrality,Примушення до нейтралітету
map.personal_conflict,Конфлікт між сусідами
map.help_against_bandits,Допомога проти розбійників
map.help_against_mountains_bandits,Допомога проти мародерів
map.neutralization_order,Наказ про нейтралізацію
map.menu.town.status.ally,У союзі
map.menu.town.status.alliance_leader,Голова союзу
map.stolen_rings_offer,Вкрадені священні персні
map.holy_defence_was_removed,"<red>Захист Люблячої сім'ї скасовано!</red>

Агресивні дії означають, що вам більше не потрібен <hint=hint_holy_protection>Захист Люблячої сім'ї</hint>."
map.holy_defence_will_be_removed,<hint=hint_holy_protection>Захист Люблячої сім'ї</hint> скоро буде скасовано!
map.trade.offer.alias,Місто продає: {resource_name}
map.trade.request.alias,Місто купує: {resource_name}
map.menu.town.king_family,МОНАРША СІМ'Я
map.menu.town.guests,ГОСТІ
map.menu.town.faction_lords,ВЕЛЬМОЖІ З МІСТА {town}
map.menu.town.vassal_of,Васал
map.menu.town.ally_of,Союзник:
map.player_vassal_rebellion,Бунтівний васал
product_change_price.rats_invasion,У зв'язку зі <hint=hint_prophecy_rats_invasion>щурячою пошестю</hint> ціна вища на <red>{price_factor}%</red>.
product_change_price.tree_bug,У зв'язку з <hint=hint_prophecy_tree_bug>шашільною пошестю</hint> ціна вища на <red>{price_factor}%</red>.
product_change_price.fields_sick,"У зв'язку із <hint=hint_prophecy_fields_sick_one>зерновим мором</hint>, ціна вища на <red>{price_factor}%</red>."
map.universal_help.danger_army,<center>Військо нападника:</center>
map.appoint.estimated_time,Приблизний час виконання завдання: {estimated_time}
map.appoint.estimated_time_army,Дорога забере {estimated_time}
map.appoint.tasks,Дії
map.category.improve_relations,Поліпшення взаємин
map.guest.remain_stay_time,"<tight><center><b>Персонаж перебуває поза містом</b></center>.

</tight>Цей персонаж зараз гостює в місті {faction_uuid}.

Ймовірно, буде дома через {remain_time}"
map.your_province,Ваша провінція
map.burn_town_waiting,Готуються спалити місто
map.last_female_in_faction,Залишилася остання незаміжня жінка
map.defence_alliance_leaving_ai,Конфлікт із союзником
map.defence_alliance_leaving_player,Конфлікт із лідером союзу
product_change_price.temporary,Тимчасове підвищення ціни на <red>{price_factor}%</red>
actor.deep_social_alias.abuse_1,{name_initiator} принижує: {name_target}
actor.deep_social_alias.abuse_2,{name_initiator} ображає: {name_target}
actor.deep_social_alias.abuse_3,{name_initiator} зраджує: {name_target}
actor.deep_social_alias.abuse_4,{name_initiator} витирає ноги об: {name_target}
actor.deep_social_alias.abuse_5,{name_initiator} втоптує в багно: {name_target}
actor.deep_social_alias.abuse_6,{name_initiator} емоційно знищує: {name_target}
actor.deep_social_alias.abuse_7,{name_initiator} змушує замовкнути: {name_target}
actor.deep_social_alias.deep_talk_1,{name_initiator} хвалить: {name_target}
actor.deep_social_alias.deep_talk_2,{name_initiator} щиро розмовляє із: {name_target}
actor.deep_social_alias.deep_talk_3,{name_initiator} втішає: {name_target}
actor.deep_social_alias.deep_talk_4,{name_initiator} підбадьорює: {name_target}
actor.deep_social_alias.deep_talk_5,{name_initiator} дякує: {name_target}
actor.deep_social_alias.deep_talk_6,{name_initiator} робить комплімент: {name_target}
actor.deep_social_alias.deep_talk_7,{name_initiator} віддає шану: {name_target}
actor.deep_social_alias.evil_joke_1,{name_initiator} кепкує з: {name_target}
actor.deep_social_alias.evil_joke_2,{name_initiator} виставляє на посміховисько: {name_target}
actor.deep_social_alias.evil_joke_3,{name_initiator} дражнить: {name_target}
actor.deep_social_alias.evil_joke_4,{name_initiator} висміює: {name_target}
actor.deep_social_alias.evil_joke_5,{name_initiator} пародіює: {name_target}
actor.deep_social_alias.evil_joke_6,{name_initiator} саркастично кепкує з: {name_target}
actor.deep_social_alias.flattery_1,{name_initiator} лестить: {name_target}
actor.deep_social_alias.flattery_2,{name_initiator} підлизується до: {name_target}
actor.deep_social_alias.flattery_3,{name_initiator} втирається в довіру до: {name_target}
actor.deep_social_alias.flattery_4,{name_initiator} простирається перед: {name_target}
actor.deep_social_alias.flattery_5,{name_initiator} щиро захоплюється: {name_target}
actor.deep_social_alias.flattery_6,{name_initiator} звеличує: {name_target}
actor.deep_social_alias.flattery_7,{name_initiator} тішить его: {name_target}
actor.deep_social_alias.good_joke_1,{name_initiator} обмінюється жартами з: {name_target}
actor.deep_social_alias.good_joke_2,{name_initiator} розповідає новий жарт: {name_target}
actor.deep_social_alias.good_joke_3,{name_initiator} добре сміється разом з: {name_target}
actor.deep_social_alias.good_joke_4,{name_initiator} ділиться новим анекдотом із: {name_target}
actor.deep_social_alias.good_joke_5,{name_initiator} показує пародію: {name_target}
actor.deep_social_alias.intrigue_1,{name_initiator} ділиться чутками з: {name_target}
actor.deep_social_alias.intrigue_2,{name_initiator} розповідає всю правду: {name_target}
actor.deep_social_alias.intrigue_3,{name_initiator} підтверджує побоювання: {name_target}
actor.deep_social_alias.intrigue_4,{name_initiator} ділиться таємницею з: {name_target}
actor.deep_social_alias.intrigue_5,{name_initiator} відкриває очі: {name_target}
actor.deep_social_alias.intrigue_6,{name_initiator} розкриває суть перед: {name_target}
actor.deep_social_alias.intrigue_7,{name_initiator} робить натяк: {name_target}
actor.deep_social_alias.slight_1,{name_initiator} не звертає уваги на: {name_target}
actor.deep_social_alias.slight_2,{name_initiator} ігнорує: {name_target}
actor.deep_social_alias.slight_3,{name_initiator} ставить на місце: {name_target}
actor.deep_social_alias.slight_4,"{name_initiator} вдає, що не чує: {name_target}"
actor.deep_social_alias.sorry_1,{name_initiator} перепрошує у: {name_target}
actor.deep_social_alias.bye_1,"{name_initiator} перед відбуттям прощається з: {name_target}.
"
actor.deep_social_alias.bye_2,{name_initiator} обіцяє скоро повернутися: {name_target}.
actor.deep_social_alias.bye_3,{name_target} бажає щасливої дороги: {name_initiator}
actor.deep_social_alias.flirt_1,{name_initiator} намагається спокусити: {name_target}
actor.deep_social_alias.flirt_2,{name_initiator} запрошує на побачення: {name_target}
actor.deep_social_alias.flirt_3,{name_initiator} небезпечно заграє з: {name_target}
actor.deep_social_alias.flirt_4,{name_initiator} обіцяє гарячу ніч: {name_target}
opinion_mind_interest.hint_title,Зацікавленість: {interest}
opinion_mind_interest.zodiak_signs,Запах
opinion_mind_interest.beauty,Зовнішність
opinion_mind_interest.age,Молодечий шарм
opinion_mind_interest.drank,Вплив алкоголю
opinion_mind_interest.love,Закоханість
opinion_mind_interest.religious_fan,Релігійні суперечності
opinion_mind_interest.scars,Шрами
opinion_mind_interest.ugly,Спотворення
opinion_mind_interest.romantic,Потреба сексу
opinion_mind_interest.opinion,Взаємини
opinion_mind_interest.manners,Відмінності манер
opinion_mind_interest.guest,Гість
opinion_mind_interest.has_paramour,Почуття до поточного партнера
opinion_mind_rumor_prefix,Чутки: {rumor}
opinion_mind.abuse,Ображає мене
opinion_mind.abuse_paramour,Ображений партнер
opinion_mind.adultery,Не знає про мою зраду
opinion_mind.blinded_relative,Осліплення близької людини
opinion_mind.bribe_me,Підкупає мене
opinion_mind.chitchat,Світська розмова
opinion_mind.close_relative,Близький родич
opinion_mind.convicted_of_adultery,Подружня зрада
opinion_mind.coward,Боягузтво
opinion_mind.criminal,Участь у злочинах
opinion_mind.deep_talk,Була щира розмова
opinion_mind.drunk_fight,П'яна бійка
opinion_mind.beat_me,Б'є мене
opinion_mind.envy_happy,Завелике щастя!
opinion_mind.envy_runes,Заздрість через персні
opinion_mind.envy_for_babys,Заздрість через дитину
opinion_mind.envy_for_victory,Заздрість через перемоги
opinion_mind.evil_joke,Кепкує з мене!
opinion_mind.ex_paramour,Колишній партнер
opinion_mind.executed_relative,Страта близької людини
opinion_mind.punished_me,Карає мене!
opinion_mind.flattery,Улеслює мене
opinion_mind.flirt,Заплановане побачення
opinion_mind.game_of_dice_loose,Виграє проти мене в кості!
opinion_mind.gift,Дає мені подарунок
opinion_mind.good_commander,Успішний командир
opinion_mind.good_joke,Добре посміялися разом!
opinion_mind.king_gift,Дає мені королівський подарунок
opinion_mind.heir_envy,Бажання трону
opinion_mind.hunt_together,Разом полювали
opinion_mind.intrigue,Брудні чутки
opinion_mind.sorry,Просить пробачення
opinion_mind.jealousy,Суперництво!
opinion_mind.love,Безтямне кохання!
opinion_mind.negative_rumor_1,Їсть по ночах
opinion_mind.negative_rumor_10,Планує назавжди піти
opinion_mind.negative_rumor_11,Венерична хвороба
opinion_mind.negative_rumor_12,Мочиться в ліжко
opinion_mind.negative_rumor_13,Накопичує сміття
opinion_mind.negative_rumor_14,Прихований атеїзм
opinion_mind.negative_rumor_15,Спить на килимку біля дверей
opinion_mind.negative_rumor_16,Прихована піроманія
opinion_mind.negative_rumor_17,Рідко миється
opinion_mind.negative_rumor_18,Завжди доїдає недоїдки
opinion_mind.negative_rumor_19,Ночами вештається голяка
opinion_mind.negative_rumor_2,Длубається в носі
opinion_mind.negative_rumor_20,Одержимість злим духом
opinion_mind.negative_rumor_21,Поклоняється пеньку
opinion_mind.negative_rumor_22,Не може займатися сексом
opinion_mind.negative_rumor_23,Чухає під пахвами
opinion_mind.negative_rumor_24,Поїдає комах
opinion_mind.negative_rumor_25,Кричить по ночах
opinion_mind.negative_rumor_3,Підглядає за слугами
opinion_mind.negative_rumor_4,Випускає гази
opinion_mind.negative_rumor_6,Багато пиячить
opinion_mind.negative_rumor_7,Лихословить позаочі
opinion_mind.negative_rumor_8,Краде кухонні предмети
opinion_mind.negative_rumor_9,Лисіє
opinion_mind.night_murder,Жорстокий вбивця
opinion_mind.other_relatives,Інші родичі
opinion_mind.paramour,Друга половинка
opinion_mind.paranoid_hate,Параноїдальна ненависть
opinion_mind.personality_arrogant,Зневажає бідноту
opinion_mind.personality_contradictory_hate,Незбагненна ненависть
opinion_mind.personality_contradictory_love,Незбагненне кохання
opinion_mind.personality_mismatch,Неприємний характер
opinion_mind.personality_mismatch_heavy,Дуже неприємний характер
opinion_mind.positive_rumor_1,Потайки пише поезію
opinion_mind.positive_rumor_10,Прихована романтичність
opinion_mind.positive_rumor_11,Шкодує за минулим
opinion_mind.positive_rumor_12,Бачить мертвих
opinion_mind.positive_rumor_13,Смертельна хвороба
opinion_mind.positive_rumor_15,Любить дітей
opinion_mind.positive_rumor_16,Тримає вдома пацюка
opinion_mind.positive_rumor_17,Вміє гіпнотизувати
opinion_mind.positive_rumor_18,Таємна закоханість
opinion_mind.positive_rumor_2,Ніжність у ліжку
opinion_mind.positive_rumor_3,Прихована депресія
opinion_mind.positive_rumor_4,Мучить почуття провини
opinion_mind.positive_rumor_5,Саджає квіти
opinion_mind.positive_rumor_6,Мріє навчитися літати
opinion_mind.positive_rumor_7,Колекціонує пряжки від ременів
opinion_mind.positive_rumor_8,Потайки допомагає хворим
opinion_mind.positive_rumor_9,Може п'ять разів за ніч
opinion_mind.pretender_envy,Заздрість спадкоємцю
opinion_mind.refuse_flirt,Відмова у побаченні
opinion_mind.refuse_flirt_full,Відмовляє мені! Як тільки сміє!
opinion_mind.reward_me,Винагороджує мене
opinion_mind.sex,Провели ніч разом!
opinion_mind.shame_relative,Осоромлено близьку людину
opinion_mind.slight,Не звертає на мене увагу
opinion_mind.spouse,Подружжя
opinion_mind.suspicion_of_adultery,Підозра в зраді
opinion_mind.try_to_kill_me,Намагається мене вбити!
opinion_mind.manners_good,Гарні манери
opinion_mind.manners_too_high,Занадто гарні манери
opinion_mind.manners_too_low,Селянська неотесаність
opinion_mind.pregnancy_father,Батько моєї дитини
opinion_mind.pregnancy_mother,Мати моєї дитини
opinion_mind.dummy_bastard,Байстрюк від простолюдина
opinion_mind.lord_bastard,Байстрюк від вельможі
opinion_mind.child,Моя дитина
opinion_mind.parent,Мої батьки
opinion_mind.rescued_from_captivity,Порятунок з полону!
opinion_mind.speeping_with_my_partner,Спить із моїм партнером!
opinion_mind.uncle,Дядько/Тітка
opinion_mind.nephew,Небіж/Небога
opinion_mind.brother,Брат/Сестра
opinion_mind.related_marriage,Спорідненість через шлюб
opinion_mind.returned_debt,Повертає борг
opinion_mind.not_returned_debt,Зраджує мою довіру
opinion_mind.not_returned_debt_neighbor,Не віддає борг сусіду
opinion_mind.player_paid_tribute,Платить мені данину
opinion_mind.player_refuse_to_pay,Відмовляється платити
opinion_mind.king_demand_pay,Данина через шантаж
opinion_mind.attacked_me,Нападає на мене
opinion_mind.attack_neighbors,Нападає на сусідів
opinion_mind.attack_traity,Агресія проти мене
opinion_mind.attack_traity_neighbors,Агресія проти сусіда
opinion_mind.attack_coward,Уникнення двобою
opinion_mind.vassal,Мій васал
opinion_mind.senior,Мій сюзерен
opinion_mind.vassal_duty_did,Виконує обов'язки васала
opinion_mind.betrayal,Зраджує мене
opinion_mind.betray_vassal_oath,Порушення васальної клятви
opinion_mind.king_bastard,Байстрюки не мають носити корони!
opinion_mind.king_woman,Жінки не мають носити корони!
opinion_mind.greetings_me,Вітає мене
opinion_mind.loot_my_village,Розграбування мого села
opinion_mind.friend_of_bandits,Домовляється з лісовими розбійниками
opinion_mind.enemy_of_bandits,Перемагає лісових розбійників
opinion_mind.killed_wolves,Винищено вовчу зграю
opinion_mind.kicked_out,Виганяє мене
opinion_mind.take_title,Позбавляє мене титулу
opinion_mind.kicked_out_my_lord,Виганяє мого вельможу
opinion_mind.discharge,Полегшення стосунків
opinion_mind.free_lord_terror,Спроба вбивства вільного вельможі
opinion_mind.my_teacher,Мій вчитель
opinion_mind.dictator_habits,Диктаторські замашки
opinion_mind.threatened_me,Погрожує мені
opinion_mind.crime_criminal_not_punished,Злочинець уникнув кари
opinion_mind.friend_of_my_child,Друг дитини
opinion_mind.best_friend_of_my_child,Найкращий друг дитини
opinion_mind.enemy_of_my_child,Ворог дитини
opinion_mind.worst_enemy_of_my_child,Запеклий ворог дитини
opinion_mind.friend_of_my_spouce,Друг подружжя
opinion_mind.best_friend_of_my_spouce,Найкращий друг подружжя
opinion_mind.enemy_of_my_spouce,Ворог подружжя
opinion_mind.worst_enemy_of_my_spouce,Запеклий ворог подружжя
opinion_mind.sex_with_other,Моє кохання спало з кимось іншим
opinion_mind.caring_parent,Дбайливі батько/мати
opinion_mind.good_child,Слухняна дитина
opinion_mind.start_friend,Старий друг
opinion_mind.start_sympathy,Симпатизує
opinion_mind.start_dislike,Антипатія
opinion_mind.start_enemy,Заклятий ворог
opinion_mind.too_smart,Завелика кмітливість
opinion_mind.sinner,Грішність (фанатизм)
opinion_mind.was_punished,Зазнає кари
opinion_mind.trade_with_enemy,Торгує з моїм ворогом
opinion_mind.dont_kill_bandits,Не може знищити розбійників
opinion_mind.kill_not_own_bandits,Втручається в чужі справи
opinion_mind.killed_my_friend,Вбиває мого друга
opinion_mind.killed_my_enemy,Вбиває мого ворога
opinion_mind.first_night_together,Перша ніч разом
opinion_mind.loot_vassal_village,Розграбовано село васала
opinion_mind.trade_with_me,Успішна угода
opinion_mind.victorious_generosity,Щедрість переможця
opinion_mind.knocked_up_my_daughter,Зробив мою дочку вагітною
opinion_mind.rebelled_against_kin,Повстає проти мого монарха
opinion_mind.traitors_slander,Наклеп на перебіжчиків
opinion_mind.not_control_own_bandits,Не контролює своїх розбійників
opinion_mind.unholly_hospitality,Порушує закон гостинності
opinion_mind.demand_vassalage_to_me,Намагається мене підкорити
opinion_mind.mind_kidnaper,Викрадач
opinion_mind.mind_kidnaper_neighbore,Викрадає сусідського вельможу
opinion_mind.mind_assassinate,Відправляє вбивць
opinion_mind.mind_assassinate_neighbore,Відправляє вбивць до сусіда
opinion_mind.dead_captive,Заручник помер
opinion_mind.captive_hold,Тримає заручника
opinion_mind.release_captive,Випускає заручника
opinion_mind.captive_terror,Катує заручника
opinion_mind.lord_rebellion_support_heir_to_heir,Підтримує заколот
opinion_mind.lord_rebellion_support_king_to_heir,Не підтримує заколот
opinion_mind.lord_rebellion_support_heir_to_king,Не підтримує законну владу
opinion_mind.lord_rebellion_support_king_to_king,Підтримує законну владу
opinion_mind.poaching_my_lords,Забирає моїх вельмож
opinion_mind.betrayed_home,Зраджує власну родину
opinion_mind.book_stealer,Краде книги
opinion_mind.gold_stealer,Здійснює пограбування
opinion_mind.refuse_light_vassals,Відмова від васалітету
opinion_mind.showed_weakness,Показує слабкість
opinion_mind.guest_death_for_owners,Підозріла смерть члена родини
opinion_mind.guest_death_for_opponents,Підозріла смерть гостя
opinion_mind.faceless,Нечиста орда
