Key,SimplifiedChinese
hint_actor_unavailable_to_leave_kid,"领主尚是孩童
{adulthood_age} 岁以下的领主无法作为宾客受邀。"
hint_actor_unavailable_to_leave_commander_with_intention,"领主是指挥官
负责指挥的领主受命留守城市，所以无法离开。"
hint_actor_unavailable_to_leave_heir_low_loyalty_for_king,"王位继承人叛乱风险
只要存在王位继承人叛乱的风险，君王就不能离开城市。"
hint_actor_unavailable_to_leave_heir_low_loyalty_for_heir,"王位继承人叛乱风险
王位继承人意图发起叛乱，因此不能离开城市。"
hint_actor_unavailable_to_leave_low_loyalty,"忠诚度低
这个领主正考虑退出这个派系，因此目前不能离开城市。"
hint_actor_unavailable_to_leave_pregnant,"怀孕
这个领主正考虑要一个孩子，因此不会离开城市。"
hint_actor_unavailable_is_king,"君王
这个领主是君王，所以无法接受此任务指派。"
hint_actor_unavailable_is_queen,"女王
这个领主是女王，所以无法接受此任务指派。"
hint_actor_unavailable_to_leave_king_with_intention,"城市受到威胁
君王拒绝在城市受到威胁时离开。"
hint_battle_squad_unavailable_in_battle,"部队在作战
部队正在作战，无法接受任务指派。"
hint_battle_squad_unavailable_commander_is_immobilized,"部队首领无法行走
只要部队首领无法行走，就无法给部队指派任务。"
hint_unavailable_send_messenger_no_messengers,"没有可用的信使
目前没有可派遣的信使。"
hint_unavailable_no_bandits,"城市中没有刺客
这座城市中没有刺客，找不到可以指派此犯罪行动的执行人。
城市中的刺客数量每隔几天更新一次。"
hint_unavailable_no_books,"城市中没有书籍
这座城市的图书馆里没有书籍可偷。等等吧，也许几天后它们会出现。"
hint_unavailable_target_no_runes,"圣戒不足
这个领主的圣戒不足。
需要<hint=hint_resource_rune>{rune_number}</hint>。"
hint_unavailable_no_runes,"圣戒不足
你的圣戒不足，无法进行此行动。需要<hint=hint_resource_rune>{rune_number}</hint>。"
hint_unavailable_send_messenger_no_paper,"纸张不足
纸张不足，无法派信使送信。需要<hint=hint_resource_paper>{paper_number}</hint>。"
hint_unavailable_no_charisma,"不具有魅力特质
这个领主不具有魅力十足特质。"
hint_send_messenger,"信使
君王会派一名自由平民代替他送信。若没有未受雇的平民，距离最近的工人将被派出送信。

此行动需要<hint=hint_resource_paper>{paper_cost}</hint>。"
hint_lord_love,"~
$领主{lord_name}将倾慕你"
hint_lord_hate,"~
$领主{lord_name}将憎恨你"
hint_group_attack_fail,"~
$部队击败了你，然后消失在森林深处"
hint_group_attack_success,"~
$你俘获了 {slaves_captured} 个囚犯"
hint_DESCRIPTION,更多
hint_SENDER,"信使
你可以派遣信使，前往世界地图上的其他聚落执行任务。

<img=hint_sender></img>

信使从平民中选出，并且送信需要花费 <hint=hint_resource_paper>1</hint>。

信使送出的信是由君王写的，所以此行动的效果由君王的技能等级决定。"
hint_support_tanaya,"教会对塔纳亚的态度
<hint=hint_sofia_cult>神爱之家</hint>始终支持其忠诚的<hint=hint_culture_tanaya>塔纳亚</hint>子民，因此帮助这个君王会获得<b>祝祷</b>。"
hint_not_support_mahka,"教会对马哈的态度
<hint=hint_sofia_cult>神爱之家</hint>不喜欢曾经信仰异教的<hint=hint_culture_makha>马哈</hint>，因此帮助这个君王不会获得<b>祝祷</b>。"
hint_ask_help_attack_aborted_result,"危机解除
敌人已经改变计划，不会再攻击这里，所以{faction_uuid}现在安全了。你的部队正改道回家。"
hint_ask_help_attack_aborted_result_letter_1,"~
危机过去了；敌人已改变主意，决定停止攻击。我非常感激您的帮助，但好在已经不需要了。我们的祈祷灵验了！"
hint_ask_help_attack_aborted_result_letter_2,"~
感谢您派来的援兵。不过，敌人胆小如鼠，临阵退缩。这要是传出去，所有人都会笑掉大牙！"
hint_church_good_opinion_against_faceless,"~
$女教皇已同意派遣援兵打击邪恶部族：<green>{church_rel_im}</green>"
hint_church_good_opinion_tanaya,"~
$女教皇同意帮助<hint=hint_support_tanaya>塔纳亚</hint>：<green>{church_rel_im}</green>"
hint_church_bad_opinion_makha,"~
$女教皇<hint=hint_not_support_mahka>不同意你支援</hint>：<red>{church_rel_de}</red>"
hint_ALLIES,"~
君王的盟友清单：
{list_of_defence_allies}"
hint_CHURCH_PLUS,"~
神爱之家和女教皇支持这个君王。

$与女教皇的关系：<green>{church_im}</green>"
hint_CHURCH_MINUS,"~
神爱之家和女教皇不支持这个君王。

$与女教皇的关系：<red>{church_der}</red>"
hint_attack_enemy_army,"攻击
你得努力追上并攻击这支军队。
{optional_stack}"
hint_event_king_help,"~
来自{faction_uuid_1}的君王{soul_uuid_king_1}已向来自{faction_uuid_2}的君王{soul_uuid_king_2}发送<hint=hint_resource_gold>{sum}</hint>，支援后者与邪恶部族的对抗。"
hint_event_horde_won,"~
<red>坏消息</red>：邪恶部族已占领{faction_uuid_1}这座城市，将其夷为了平地。{soul_uuid_king}已身亡，其世家已被消灭。"
hint_event_house_won,"~
来自{faction_uuid_1}的君王{soul_uuid_king_1}已烧毁了这座城市并彻底消灭了{faction_uuid_2}的贵族世家。{soul_uuid_king_2}及其家人都已身亡。"
hint_random_event_lord_dead_on_hunt,"~
来自{faction_uuid_target}的领主{soul_uuid_target}已在狩猎中身亡。"
hint_random_event_lord_killed_by_lord,"~
来自{faction_uuid_target}的领主{soul_uuid_target}已被来自{faction_uuid_member}的{soul_uuid_member}杀害。"
hint_random_event_lord_executed,"~
来自{faction_uuid_target}的领主{soul_uuid_target}已被处决。"
hint_random_event_lord_dead_from_wounds,"~
来自{faction_uuid_target}的领主{soul_uuid_target}已因伤身亡。"
hint_random_event_lord_blinded,"~
来自{faction_uuid_target}的领主{soul_uuid_target}已目盲。"
hint_random_event_lord_was_expelled,"~
来自{faction_uuid_old}的领主{soul_uuid_target}已被流放并加入了{faction_uuid_new}。"
hint_random_event_lord_change_faction,"~
来自{faction_uuid_old}的领主{soul_uuid_target}已转投{faction_uuid_new}贵族世家。"
hint_random_event_kings_friends,"~
来自{faction_uuid_1}的君王{soul_uuid_king_1}已与来自{faction_uuid_2}的君王{soul_uuid_king_2}结为好友。"
hint_random_event_kings_abuse,"~
来自{faction_uuid_1}的君王{soul_uuid_king_1}已与来自{faction_uuid_2}的君王{soul_uuid_king_2}发生争吵。"
hint_random_event_rebellion,"~
{faction_uuid}中出现了叛乱。{dead_lords_stack}已身亡。"
hint_random_event_death_during_childbirth,"~
来自{faction_uuid}的领主{soul_uuid_target}在分娩时死亡。"
hint_event_new_vassal,"~
{faction_uuid_1}已成为来自{faction_uuid_2}的君王{soul_uuid_king_2}的附庸。"
hint_event_other_town_has_been_attacked_success,"~
{faction_uuid_attacker}军队已成功攻下{faction_uuid_target}首都。"
hint_event_other_town_has_been_attacked_fail,"~
{faction_uuid_attacker}军队没能成功攻下{faction_uuid_target}首都。"
hint_event_other_village_has_been_attacked,"~
{faction_uuid_attacker}军队已烧毁{faction_uuid_target}村庄。"
hint_event_bandit_camp_was_attack_success,"~
{faction_uuid_attacker}军队已摧毁{faction_uuid_bandit_area}领土上的强盗营地。"
hint_event_bandit_camp_was_attack_fail,"~
{faction_uuid_attacker}军队没能攻下{faction_uuid_bandit_area}领土上的强盗营地。"
hint_event_alliance_against_agressor,"~
来自{faction_uuid_1}的君王{soul_uuid_king_1}已加入由{faction_uuid_2}的{soul_uuid_king_2}领导的自由城联盟，以应对来自{faction_uuid_3}的威胁。"
hint_event_many_vassals,"~
来自{faction_uuid}的君王{soul_uuid_king}已征服了第三个附庸！"
hint_possible_helper_line,"~
$来自{faction_uuid}的{soul_uuid_king}"
hint_possible_helpers_enemies,"敌人
若是打击他的敌人，他有可能会参战。"
hint_possible_helpers_allies,"盟友
面临军事威胁时，盟友有义务支援。但如果盟友怂了，可能会终止结盟契约，友好关系也会遭到破坏。"
hint_possible_helpers_enemies_to_ai_header,"~
{soul_uuid_king}<hint=hint_possible_helpers_enemies>有可能</hint>会帮忙："
hint_possible_helpers_allies_to_ai_header,"~
{soul_uuid_king}<hint=hint_possible_helpers_allies>很可能</hint>会帮忙："
hint_possible_helpers_enemies_to_player_header,"~
你<hint=hint_possible_helpers_enemies>有可能</hint>得到支援："
hint_possible_helpers_allies_to_player_header,"~
他们肯定会帮助你："
hint_support_by_church_success,"~
$在这种情况下，女教皇会同意你的行动。关系：{church_improve}"
hint_support_by_church_fail,"~
$在这种情况下，女教皇不会同意你的行动。关系：{church_der}"
hint_marriage_female_description,"[hint_DESCRIPTION]
{soul_uuid_female}已经到了婚龄，正待贵族追求者的求婚。

$迎娶新娘需要支付彩礼<hint=hint_resource_gold>{bride_price}</hint>。
$你与这个世家将变为亲家关系。"
hint_marriage_female_proposal,"{name}
{soul_uuid_female}已经到了婚龄，正待贵族追求者的求婚。
她将成为你的一位男性领主的妻子。

$新娘所在的贵族世家将收取<hint=hint_resource_gold>{bride_price}</hint>。
$新娘的君王与你的君王之间的关系将提升 <green>{rel_improve}</green>。
$ <b>新娘将移居至你的城市与丈夫同住</b>。"
hint_marriage_female_proposal_success,"~
{soul_uuid_female}已成为{soul_uuid_groom}的妻子，并将很快到达你的城市。

$新娘的君王与你的君王之间的关系已提升 <green>{rel_improve}</green>。"
hint_marriage_female_letter_1,"~
真是天造地设的一对，我太开心了！亲缘关系总是坚不可摧的，我坚信，我们两国之间的友谊也会如此。祝你们百年好合，热切期待与你们尽快重聚！"
hint_marriage_female_letter_2,"~
我想借这封信告知您，我由衷地感谢您迎娶并爱护我们家小姐。恭祝你们早生贵子。"
hint_marriage_female_letter_3,"~
虽然实在不忍与亲人分别，但你们的结合带来了喜悦，抚平了分别的伤痛。我坚信我们两国将和平共处，友谊长存。"
hint_marriage_female_letter_4,"~
我们的孩子喜结连理，我心甚悦；亲缘关系的确比友谊更加坚固。我承认，新娘虽不是美若天仙，也没有天使般的性情，但她无疑是非常健康的！"
hint_marriage_female_letter_5,"~
啊，她非常期盼这场婚礼，简直夜不能寐，这一刻终于来临了，我们都无比高兴。我相信，这场结合不仅能给我们带来王位继承人，还会让我们两个家族蒸蒸日上，繁荣昌盛！"
hint_marriage_male_description,"[hint_DESCRIPTION]
{soul_uuid_male}已经到了婚龄，正待贵族新娘的求婚。

$根据传统，新娘的彩礼由她所在贵族世家的实力决定。就你的情况而言，金额为 <hint=hint_resource_gold>{bride_price}</hint>。
$你们的关系将提升 <green>{rel_improve}</green>
{optional_last_female_faction}"
hint_marriage_male_proposal,"{name}
{soul_uuid_male}已经到了婚龄，正待贵族新娘的求婚。
他将成为你的一位女性领主的丈夫。

$你将收取 <hint=hint_resource_gold>{bride_price}</hint>。
$新郎的君王与你之间的关系将提升 <green>{rel_improve}</green>。
$ <b>新娘将离开你的城市，移居至丈夫的城市</b>。
$你们的关系将提升 <green>{rel_improve}</green>
{optional_last_female_faction}"
hint_marriage_male_proposal_success,"~
{soul_uuid_bride}已到达她新婚丈夫{soul_uuid_male}所在的城市，一场婚礼即将进行。

$新郎的君王与你的君王之间的关系已提升 <green>{rel_improve}</green>。"
hint_marriage_male_proposal_success_letter_1,"~
我相信，此番联姻将见证我们之间的友谊长存。我们这个时代战乱不断，灾难频发，充满了不确定性。我们只有结盟才能共同应对这些挑战。"
hint_marriage_male_proposal_success_letter_2,"~
我等不及要向您表示感谢！您家小姐气质高贵，性情温和。我向您保证，她来到我们家定不会吃苦，也不会受委屈，我们定会尊重她、爱护她。"
hint_marriage_male_proposal_success_letter_3,"~
能与您家结亲是我们的莫大荣幸。祝愿这对璧人天长地久，百年好合。她此刻肯定很想家，这是人之常情，但我相信她很快会适应新环境。我向您保证，我们定会好好照顾她。"
hint_marriage_male_proposal_success_letter_4,"~
一想到你们两个结了婚，我就高兴的不得了。你那位夫人除了有点儿多愁善感，在各方面都是百里挑一！祝你婚姻幸福，万事顺意。"
hint_king_tribute_100_description,"[hint_DESCRIPTION]
{soul_uuid_king}认为你的军队<hint=hint_army_power>不堪一击</hint>，因此建议你提供资金，以便为保障该地区的安全出一份力。

$你必须向{soul_uuid_king}缴纳 <hint=hint_resource_gold>{tribute_money}</hint>。
$如果没能做到这一点，你们的关系将在两天后下降 <red>{rel_de}</red> 点。

[hint_SENDER]"
hint_king_tribute_100,"缴纳金币
${soul_uuid_king}会收到 <hint=hint_resource_gold>{tribute_money}</hint>。
$你们的关系将会提高 <green>{rel_imp}</green> 点。"
hint_king_tribute_100_success,"~
$你向{soul_uuid_king}缴纳了 <hint=hint_resource_gold>{tribute_money}</hint>。
$你们的关系提高了 <green>{rel_imp}</green> 点。"
hint_king_tribute_100_ignore,"~
$你选择不向{soul_uuid_king}缴纳贡金，这激起了他的愤怒。
$你们的关系下降了 <red>{rel_de}</red> 点。"
hint_king_tribute_100_success_letter_1,"~
感谢你提供资金支持！你肯毫无保留地上缴贡金，孤心甚慰。要记住，只有傻瓜才是只要钱，不要命。"
hint_king_tribute_100_success_letter_2,"~
感谢你，选择谦恭地服从王命！看来，在我们的世界里，大家还知道应该尊奉强权。当然，我也提醒你，该称臣的时候就俯首下跪，这没什么好羞愧的。"
hint_king_tribute_100_ignore_letter_1,"~
你已经用沉默清晰地表明了自己的立场。我只希望在不久的将来，当你向盟友求助的时候，会得到与此不同的答复！"
hint_king_tribute_100_ignore_letter_2,"~
无视寡人屈尊降贵的请求只会让我将你视为仇敌——或者蠢货。你想怎么选？"
hint_king_tribute_description,"[hint_DESCRIPTION]
{soul_uuid_king}认为你的军队<hint=hint_army_power>无异于土鸡瓦狗</hint>，因此建议你把养兵的钱交出来，另作他用。如果你拒不听命，对方就会让你看看，什么叫做真正的摧枯拉朽。

$你必须向{soul_uuid_king}缴纳 <hint=hint_resource_gold>{tribute_money}</hint>。
$如果没能做到这一点，你们的关系将在两天后下降 <red>{rel_de}</red> 点。此外，{soul_uuid_king}还会<red>攻打你的城市</red>。
{optional_possible_helpers}

[hint_SENDER]"
hint_king_tribute,"缴纳金币
${soul_uuid_king}会收到 <hint=hint_resource_gold>{tribute_money}</hint>。
$你们的关系将会提高 <green>{rel_imp}</green> 点。"
hint_king_tribute_success,"~
$你向{soul_uuid_king}缴纳了 <hint=hint_resource_gold>{tribute_money}</hint>。
$你们的关系提高了 <green>{rel_imp}</green> 点。"
hint_king_tribute_ignore_battle,"~
你没有向{soul_uuid_king}缴纳贡金，这激起了他的愤怒。

$你们的关系下降了 <red>{rel_de}</red> 点。
${soul_uuid_king}已点齐军马，朝你的城市进发，准备大肆掠夺一番。"
hint_king_tribute_ignore_coward,"~
你没有向{soul_uuid_king}缴纳贡金，这激起了他的愤怒。

$你们的关系下降了 <red>{rel_de}</red> 点。
${soul_uuid_king}在冷静地评估了形势之后，决定不攻打你——暂时不打。"
hint_king_tribute_success_letter_1,"~
什么样的领主能带出一支连三岁小孩儿都不如的军队？真令人齿冷！不过，更令人鄙视的是，这位领主既没有虎狼之师，又拿不出求全之财——幸好，你不是这一种。但愿日后你依然能及时向我缴纳贡金。"
hint_king_tribute_success_letter_2,"~
对于训练并统率一支骁勇善战的军队，你好像并不是很看重，这一点已经显而易见了。不过，弱者往往可以用财富来弥补这种疏忽。但愿将来，圣索菲亚会青睐你的钱包。"
hint_king_tribute_ignore_letter_coward_1,"~
如果你认为，我会对你拒绝纳贡的行径视而不见，那你可真是蠢得快要疯了！那都是我的钱，只要时机一到，我自然会来拿的。"
hint_king_tribute_ignore_letter_coward_2,"~
你可能已经习惯了和懦弱的统治者打交道——他们和你一样，害怕冲突，拖沓不决——但我可不是这种人。我会让你乖乖纳贡的。虽然现在有更重要的事情在等着我，但这笔钱我迟早会来拿的。记住我的话！"
hint_king_tribute_ignore_letter_battle_1,"~
对于那些治政有方的人来说，我这点小小的贡金根本算不上什么负担。可你嘛，要么是没有治国理政的本事，要么更糟——你打算欺骗本王。如果是这样的话，那我就只能靠力量来夺回我应得的东西了。战场上见吧！"
hint_king_tribute_ignore_letter_battle_2,"~
看来，你好像根本不在乎治下子民的死活，不然的话，你怎么会拒绝纳贡？！哼，既然你不肯出钱，那我就自己来取！"
hint_demand_change_relations_complete,"~
$你们的关系下降了 <red>{demand_tribute_rel_de}</red>。"
hint_demand_change_relations,"~
不论结果如何，这都是一个咄咄逼人的举动。
$与{soul_uuid_king}的关系：<red>{demand_tribute_rel_de}</red>。可能会导致双方变成<hint=hint_faction_relations_enemy>敌人</hint>。"
hint_demand_tribute,"礼貌地索要贡金
告诉{soul_uuid_king}，你希望对方支付 <hint=hint_resource_gold>{tribute_money}</hint>，以此来促进你们之间的关系。

{optional_change_relations_with_owner}
{optional_holy_defence_will_removed}

[hint_SENDER]
{optional_duty_of_honor}"
hint_demand_tribute_success,"~
${soul_uuid_king}深感冒犯，但还是给了你 <hint=hint_resource_gold>{tribute_money}</hint>.
{optional_changed_relations_with_owner}
{optional_holy_defence_will_removed}
{optional_duty_of_honor_complete}"
hint_demand_tribute_fail,"~
${soul_uuid_king}回信说，你的要求十分无礼。
$你们的关系已降至<red>{demand_tribute_rel_de}</red>。
$与邻邦的关系：<red>{rel_demand_tribute_de_neigh}</red>
{optional_holy_defence_will_removed}"
hint_demand_tribute_success_letter_1,"~
只有恶贯满盈的人才会这么贪得无厌，连口吃的都不给老人和孩子留。不过，命运就像圣母扔出去的骨头，早晚要砸在你自己头上。等着吧，总有一天，你会失去一切，而我会在民众的欢呼声中沐浴胜利的荣光。"
hint_demand_tribute_success_letter_2,"~
轻慢邻邦可没什么好处，这一点看来你还没有意识到。但你让我蒙受这般侮辱，我是断然不会善罢甘休的。只有报却此仇，方能泄我心头之恨。"
hint_demand_tribute_fail_letter_1,"~
你真以为自己能威胁得了我？我继位为王可是名正言顺，跟你这只撞上死耗子的瞎猫截然不同。听着，要我出钱也可以，但那要看看，你有没有本事来拿了！"
hint_demand_tribute_fail_letter_2,"~
你好像已经听到了金币在哗啦作响，不过，我还是建议你快醒醒吧，毕竟只有梦里才是什么都有。而到了现实中，你唯一能看到的，就是我锋利的宝剑！来吧，你这胆小如鼠的混蛋！"
hint_assault_fair,"劫掠的威胁
向敌人发起挑战，要求占有其金库中的全部财富。如果敌人在两天之内拒绝此要求，你就可以对城市发起劫掠，强行夺取财富。

由于你和该聚落的君王已处于<hint=hint_faction_relations_enemy>敌对</hint>关系，此次袭击并不会引起其他邻邦太强烈的反应。

$可能劫掠到：<hint=hint_resource_gold>{town_money}</hint>
$与{soul_uuid_king}的关系：<red>{assault_fair_rel_de}</red>
{optional_attack_on_vassal_or_ally}
{optional_possible_helpers_against_player}
{optional_holy_defence_will_removed}

[hint_SENDER]"
hint_assault_success,"~
${soul_uuid_king}深感冒犯，但还是给了你 <hint=hint_resource_gold>{tribute_money}</hint>。
{optional_attack_on_vassal_or_ally}"
hint_assault_fail,"~
${soul_uuid_king}深感冒犯。
$同时，他也拒绝向你臣服，并做好了面对围攻的准备。
{optional_attack_on_vassal_or_ally}

现在，你可以攻击他的城市并发起掠夺。
{optional_possible_helpers_against_player}"
hint_assault_fair_success_letter_1,"~
你让我别无选择。拿走所有的金币吧。但日后也别忘了：不把你的城市烧成灰烬，我绝不会善罢甘休。走着瞧吧，我一定会找到帮手来助我复仇的。"
hint_assault_fair_success_letter_2,"~
好吧，好吧，把我所有的财富都拿走好了。我不会让我的子民血染城郭，这一点和你完全不同。另外，尽管发生了这样的事，我还是希望你在未来某天能够明白——比起暴力劫掠，和平贸易更能创造出财富。"
hint_assault_fail_letter_1,"~
劫掠我的城市？告诉你吧，你不是第一个想这么干的了，估计也不会是最后一个。不过，既然你选了这条自取其辱的道路，那我也别无选择，只能等你挥兵至此，我们一决高下了！"
hint_assault_fail_letter_2,"~
休想从我这里得到一分一毫！哪怕让我的城市燃起战火，也不会让你这个混蛋得便宜！"
hint_assault_asnwer_waiting_description,"等待回应
{soul_uuid_king}在收到你的劫掠威胁之后，陷入了沉思。

他很快会作出回应。
{optional_possible_helpers_against_player}"
hint_demand_assault_attack_description,"等待攻击
{soul_uuid_king}拒绝了你的勒索，随后便开始在城中坚守，等你挥师来攻。

$如果你在<b>两天内</b>未能发起攻击，就会被视做懦夫。
{optional_holy_defence_will_removed}"
hint_demand_assault_attack,"进攻
$如果你在<b>两天内</b>未能发起攻击，就会被视做懦夫。"
hint_demand_assault_attack_success,"~
攻击成功，{soul_uuid_king}吞下了失败的苦果——他的城市被劫走了 <hint=hint_resource_gold>{tribute_money}</hint>。

你的部队满载战利品，胜利班师。"
hint_demand_assault_attack_fail,"~
你输掉了战斗。{soul_uuid_king}已向大家证明，你还不够资格当他的对手。"
hint_demand_assault_attack_timeover,"~
你未能发起攻击，你的君王现在会视你为懦夫。

$与{soul_uuid_king}和邻邦的关系：<red>{rel_coward}</red>。"
hint_demand_assault_attack_success_letter_1,"~
勇敢的人值得尊敬，像你这样英勇作战的人自然也不例外。作为对手，你赢得了我的钦佩，但想要我对你心悦诚服，还是趁早死了这条心吧。我知道，你我早晚会在战场上重逢。毕竟，给人留下个“软柿子”的印象是极其危险的，想必你也同样清楚这一点。"
hint_demand_assault_attack_success_letter_2,"~
你赢了，但你全凭运气，才侥幸夺得了胜利。说到底，你始终是个懦弱的鼠辈，构不成什么威胁。等我重整旗鼓，必定挥师前来复仇。到时候，你的王国就会化作一段记忆，在时间的风尘中烟消云散。"
hint_demand_assault_attack_fail_letter_1,"~
你想知道胜利是什么滋味儿吗？告诉你吧，就像是在炎炎夏日喝上一杯冰镇的美酒——畅爽无比！不过你放心，这不是我第一次赢你了，自然也不会是最后一次。想想看，谁又愿意错失痛饮庆功美酒的机会？"
hint_demand_assault_attack_fail_letter_2,"~
看到你的人马被杀得丢盔弃甲、尸横遍野，简直比打了胜仗还让人开心。我从未见过如此怯懦的军队，不过，有件事情我倒是非常确定——你的用兵之道实在可笑。"
hint_demand_assault_attack_timeover_letter_1,"~
我居然被你这种胆小鬼包围了……想到这一点，勇气便在我心中油然而生。等着瞧吧，你的懦弱很快就会人尽皆知！"
hint_demand_assault_attack_timeover_letter_2,"~
如果说怯懦是一种罪恶，那么你——我的朋友——简直就是罪大恶极。说真的，我没想到你居然会如此胆小。像你这样的人也配头戴冠冕，统治人民？真是滑天下之大稽。"
hint_assault_asnwer_waiting_fair,"等待回应
{soul_uuid_king}在收到你的劫掠威胁之后，陷入了沉思。

他很快会作出回应。

$与{soul_uuid_king}的关系：<red>{assault_fair_rel_de}</red>
{optional_holy_defence_will_removed}"
hint_assault_asnwer_waiting_unfair,"等待回应
{soul_uuid_king}在收到你的劫掠威胁之后，陷入了沉思。

他很快会作出回应。

$与{soul_uuid_king}的关系：<red>{assault_unfair_rel_de}</red>
$与邻邦的关系：<red>{assault_unfair_rel_de_neigh}</red>
$与女教皇的关系：<red>{assault_unfair_matriarch_rel_de}</red>
{optional_holy_defence_will_removed}"
hint_assault_unfair,"劫掠的威胁
向敌人发起挑战，要求占有其金库中的全部财富。如果敌人在两天之内拒绝此要求，你就可以对城市发起劫掠，强行夺取财富。

由于你和该聚落的君王尚未处于<hint=hint_faction_relations_enemy>敌对</hint>关系，此次袭击会被制作<red>背信弃义</red>之举。

$可能劫掠到：<hint=hint_resource_gold>{town_money}</hint>

$与{soul_uuid_king}的关系：<red>{assault_unfair_rel_de}</red>
$与邻邦的关系：<red>{assault_unfair_rel_de_neigh}</red>
$与女教皇的关系：<red>{assault_unfair_matriarch_rel_de}</red>
{optional_attack_on_vassal_or_ally}
{optional_possible_helpers_against_player}
{optional_holy_defence_will_removed}

[hint_SENDER]"
hint_city_burn_ai,"[hint_DESCRIPTION]
{soul_uuid_king}认为，应该将你整个家族从世间抹除。他准备发起进攻，打算焚毁你的城市，并将你贵族世家中的所有人尽数诛杀。

$准备该攻击需要两天时间。"
hint_city_burn_ai_ready,"~
战前准备已经完成，{soul_uuid_king}即将起兵。

战争的号角马上就要吹响，你的贵族世家也即将迎来命运的审判。"
hint_city_burn_ai_success,"~
你成功地抵御住了这次攻击。

${soul_uuid_king}对你的勇气感到诧异，他与你的关系提高了 <green>{king_im}</green>。"
hint_city_burn_ai_success_letter_1,"~
看到你的勇气，我不禁心生敬佩。不仅如此，我还要对这份勇气致以最崇高的敬意，因为我已经很久没遇到过有实力的对手了。虽然这次我失败了，但我期待能与你再次交锋，这将是我的荣幸。"
hint_city_burn_ai_success_letter_2,"~
你是一位英勇的战士，你作战的英姿令人神往！虽然我败了，但这一仗打得着实痛快。"
hint_peace_conditions,"~
条款： 
$目前{soul_uuid_king}和你的君王的关系：{current_relations}
$基于现状，缔结和约会让你花费 <hint=hint_resource_gold>{peace_offer_cost}</hint>"
hint_declared_peace_description,"和约
{soul_uuid_king}和你签订了神圣的和约。

$在此期间，定约各方均不得劫掠村庄、攻击城市，也不能强迫对方效忠，成为附庸。
$不过，领主可参观彼此的城市，甚至策划和参与<hint=hint_action_shadow>邪恶勾当</hint>。
${soul_uuid_king}与你的君王的关系：<green>{peace_king_im}</green>

<b>距离和约到期还有 {peace_day_remain} 天。<b>"
hint_unavailable_peace_too_strong,"不感兴趣
{soul_uuid_king}太强大了，感觉不到你和邻邦有何威胁可言。

<b>提示：</b>你可以使用<b>诽谤</b>行动，让君王的邻邦反对他（低于 <red>-25</red>），让他更愿意谈判。"
hint_peace_treaty,"和约
签订和约，休战 {peace_duration} 天。

$在此期间，定约各方均不得劫掠村庄、攻击城市，也不能强迫对方效忠，成为附庸。
$不过，领主可参观彼此的城市，甚至策划和参与<hint=hint_action_shadow>邪恶勾当</hint>
${soul_uuid_king}与你的君王的关系：<green>{peace_king_im}</green>

{optional_peace_conditions}
[hint_ALLIES]

[hint_SENDER]
{optional_duty_of_honor}"
hint_peace_treaty_success,"和约
{soul_uuid_king}和你签订了神圣的和约。

$在此期间，定约各方均不得劫掠村庄、攻击城市，也不能强迫对方效忠，成为附庸。
$不过，领主可参观彼此的城市，甚至策划和参与<hint=hint_action_shadow>邪恶勾当</hint>。
$与{soul_uuid_king}的关系：<green>{peace_king_im}</green>

<b>距离和约到期还有 {peace_day_remain} 天。<b>
{optional_duty_of_honor_complete}"
hint_peace_treaty_finish,"和约已经到期。
现在，你和{soul_uuid_king}对彼此不再负有义务。"
hint_peace_treaty_king_dead,"和约将被终止。
原因：一名立约人死亡。

$你和{soul_uuid_king}对彼此不再负有义务。"
hint_peace_treaty_success_letter_1,"~
与你缔结和约让我感到由衷喜悦。我一直都希望能与邻邦和睦相处。"
hint_peace_treaty_success_letter_2,"~
当下，缔结和约在各邦之间已经成了罕见之举，但事实证明，你我比其他人更有远见。我相信，我们的王国定会在和平中迎来繁荣！"
hint_peace_treaty_finish_letter_1,"~
很不幸，和约条款已经到期。但愿我们都在此前的和平中收获了巨大的利益。或许在将来，你我还可以再次缔结和约。"
hint_peace_treaty_finish_letter_2,"~
看来，你我之间的和约已经到期。在这段时间里，我们的王国都迎来了平静祥和。但愿它的结束不会预示着战争和苦难的再度开始。"
hint_peace_treaty_king_dead_letter_1,"~
前任君王和你缔结了一份和约，这一点我很清楚。不过，他最近去世了。因此在我看来，继续遵行和约已经没有意义了。"
hint_peace_treaty_king_dead_letter_2,"~
前任君王和你缔结了一份和约，这一点我很清楚。不过，他最近去世了。因此在我看来，继续遵行和约已经没有意义了。"
hint_peace_treaty_king,"和约
{soul_uuid_king}希望和你缔结和约，休战 {peace_duration} 天。

$在此期间，定约各方均不得劫掠村庄、攻击城市，也不能强迫对方效忠，成为附庸。
$领主可参观彼此的城市，甚至策划和参与<hint=hint_action_shadow>邪恶勾当</hint>。
$与{soul_uuid_king}的关系：<green>{peace_king_im}</green>
$你会收到：<hint=hint_resource_gold>{peace_offer_cost}</hint>

该和约由教会促成，神圣无比，绝不允许打破。

[hint_ALLIES]

[hint_SENDER]"
