Key,Indonesia
letter.post.enemy.battle_loose_enemy,"Catatan Tambahan: Bagaimana saya tertawa saat mendengar bagaimana Anda kalah dalam pertempuran itu! Pada hari itu, semua petani saya minum ale gratis. Sungguh, Sofia adil."
letter.post.coward,"Catatan Tambahan: Apakah Anda ingat bagaimana Anda mundur dan menolak menghadapi saya? Percayalah, semua tetangga mendengarnya! Di antara kita, tidak pernah ada raja yang begitu bodoh dan penakut."
letter.post.enemy.village_destroyed,Catatan Tambahan: Bagaimana Anda menghibur saya saat saya tahu Anda bahkan tidak bisa membela desa sendiri! Saya penasaran apa yang dipikirkan petani Anda tentang pemerintahan Anda?
letter.post.enemy.battle_loose,"Catatan Tambahan: Saya yakin Anda sulit tidur setelah kekalahan memalukan seperti itu! Jujur, saya pikir lawan Anda tidak punya kesempatan. Syukurlah kepada Ibu Sofia saya salah!"
letter.post.enemy.battle_win,Catatan Tambahan: Aneh mendengar tentang kemenangan Anda. Apa yang Anda suap Ibu Sofia? Dia pasti membantu Anda entah bagaimana.
letter.post.enemy.vassal,"Catatan Tambahan: Menakjubkan Anda tidak menjadi bawahan lebih cepat! Mungkin hanya tikus yang berlarian di peti kosong dan barak Anda? Yah, ketaatan adalah nasib orang lemah."
letter.post.enemy.low_prestige,Catatan Tambahan: Saya dengar mereka menyebut Anda Bangsawan paling tak berguna di wilayah kita? Tidak mengejutkan. Mungkin Anda menghabiskan malam di gudang?
letter.post.enemy.betrayal,Catatan Tambahan: Apakah Anda pikir saya akan lupa bagaimana Anda mengkhianati saya? Saya berdoa kepada Ibu Suci agar Anda tidak mati sebelum saya punya kesempatan membalas dendam kepada Anda!
prophecy.letter_announce.wolf_attack,"Tulang-tulang meramalkan bencana. Bulan tak terlihat akan terbit, dan darah akan membeku dari lolongan lapar fleshwolf! Waspadai binatang buas, dan siapkan diri untuk serangan mereka, karena itu tidak akan lama lagi!"
prophecy.letter_announce.bandits_capm,"Saya melihat cahaya merah saat matahari terbenam. Itu warna darah! Saya melempar tulang, dan mereka memberi tahu saya bahwa mereka yang takut kematian mereka akan mencari orang lain di rumah Anda."
prophecy.letter_announce.fields_sick_one,"Saya bermimpi profetik tadi malam. Alih-alih tanaman hijau, saya melihat gagak hitam. Mereka adalah pembawa kelaparan dan kematian, yang datang ke rumah Anda!"
prophecy.letter_announce.cholera_epidemy,"Beberapa hari lalu kami melakukan pengorbanan, dan darah anak sapi yang disembelih tidak menyembur dalam aliran merah tua; cairan hitam berbau busuk mengalir darinya. Penyakit akan datang ke pemukiman Anda segera!"
prophecy.letter_announce.xenophoby,"Teks suci terbuka di halaman di mana orang-orang saling melempar seperti binatang buas, dan jeritan anak-anak terdengar dari api. Santa Sofia memperingatkan Anda!"
prophecy.letter_announce.crocks_wave,Tadi malam saya bermimpi. Bayangan bertudung condong ke arah saya. Belati berkilat di tangannya. Waspadai pengembara; saya yakin itu tanda dari atas!
prophecy.letter_announce.fanatics_wave,"Para peramal mengatakan mereka melihat di awan orang-orang gila berdiri dengan salib terbakar di tangan mereka. Banyak dari mereka, dan kemarahan memenuhi hati mereka!"
prophecy.letter_announce.fields_sick_all,Bulan tidak terbit selama sepuluh hari berturut-turut. Buku-buku kuno mengatakan ini adalah pembawa kegagalan panen dan kelaparan. Semoga Santa Sofia membantu Anda!
prophecy.letter_announce.tree_bug,Saya bermimpi buruk. Batang gelap pohon tanpa daun seperti patung tak bergerak berdiri alih-alih hutan hijau Anda. Saya harap Anda tahu apa yang harus dilakukan!
prophecy.letter_announce.rats_invasion,"Dalam pelupaan nektar, saya mendapat penglihatan. Di altar, saya melihat tikus melahap daging domba yang baru lahir. Saya meramalkan kelaparan dan masalah di kerajaan Anda!"
prophecy.letter.finish,Para karavaner kami mengatakan bahwa bayangan hitam bencana telah surut. Saya harap semua orang terkasih Anda hidup dan sehat. Tapi saya takut ini bukan ujian terakhir yang dikirim Ibu Sofia kepada kita atas dosa kita.
letter.sign.matriarch,"Dengan kelembutan di hati saya,
Matriark"
letter.post.diplomat_1,"Sungguh, hasil yang menguntungkan, saya harus akui, saya tidak antisipasi. Namun, saya sangat senang bahwa permusuhan kita terletak di masa lalu. Apa yang lalu harus dilupakan, bukan begitu?"
letter.post.diplomat_2,"Upaya Anda untuk memulihkan perdamaian antara kerajaan kita, saya harus akui, saya hargai. Namun, kemuliaan perbuatan Anda tidak berarti saya percaya selanjutnya."
letter.post.vassal_out_1,"Tahu bahwa saya tidak lagi condong tunduk kepada Anda. Dan jika Anda mencari alasan ketidaktaatan saya, lihat di cermin. Di saat saya butuh, saya tidak mendapat bantuan dari Anda. Mulai sekarang, kerajaan Anda berkurang."
letter.post.vassal_out_2,"Sumpah bantuan militer diberikan oleh Anda saat saya setuju menjadi bawahan Anda. Dan apa balasannya? Upeti yang ditunjuk oleh Anda, saya bayar dengan setia, namun di saat kritis, Anda tinggalkan saya. Mulai sekarang, saya bukan bawahan Anda."
letter.emperor,"Kami menyesal bahwa kesombongan Anda telah membawa Anda ke penistaan seperti itu sehingga Anda memutuskan untuk menghancurkan tatanan ilahi dunia yang dibangun oleh Ibu Sofia sendiri. Sayangnya, nasihat sia-sia di sini. Ayah Ketat dan rekan inkuisitornya sedang bersiap berangkat. Semoga Sofia memaafkan Anda!"
letter.start.matriarch,Anak Tercinta!
letter.tax_increase,"Hati kami dipenuhi sukacita saat kami, Keluarga Penuh Kasih, menyaksikan kesuksesan politik Anda. Baru kemarin, dinasti Anda mencabut rumput rutabaga, dan sekarang Anda kepala negara, mendiktekan kehendak kepada tetangga! Oleh karena itu, saya yakin inisiatif kami untuk sedikit meningkatkan pajak pada prajurit Anda tidak akan menjadi beban yang tak tertahankan bagi Anda!"
letter.army_tax_increase_footer,"Karena masuknya Anda ke arena politik yang lebih besar dan pengaruh yang meningkat, Keluarga Penuh Kasih percaya Anda harus berkontribusi lebih untuk keamanan jalan.

Gereja meningkatkan pajak pada prajurit, yang sekarang {new_tax} per unit keterampilan tempur untuk setiap prajurit (sebelumnya {old_tax})."
faction.player_village,Petani
faction.faceless,Hor Hampa
faction.forest_bandits,Perampok Hutan
faction.mercenaries,Tentara Bayaran
faction.wolves,Fleshwolf
faction.inquisition,Inkuisisi
faction.traders,Karavan Suci
faction.traders_slaves,Budak Karavan Suci
faction.free_lords,Bangsawan Bebas
faction.holy_synod,Keluarga Penuh Kasih
faction.rebellious_zealots,Fanatik Pemberontak
faction.rebellious_slaves,Budak Pemberontak
faction.rebellious_soldiers,Prajurit Pemberontak
faction.rebellious_heir,Separatist
faction.mountain_bandits,Perampok
faction.hired_bandits,Perampok Bayaran
faction.abandoned,Pemukiman Terbengkalai
faction.low_loyalty,Pemberontak
faction.name.0,Silverhaven
faction.name.1,Dust Valley
faction.name.2,Windpeak
faction.name.3,Starstream
faction.name.4,Moonlake
faction.name.5,Sparksville
faction.name.6,Crystallight
faction.name.7,Stardale
faction.name.8,Enchantment
faction.name.9,Treewood
faction.name.10,Moonrealm
faction.name.11,Greatmist
faction.name.12,Brightvale
faction.name.13,Misthaven
faction.name.14,Goldshire
faction.name.15,Sparkfall
faction.name.16,Lakehold
faction.name.17,Dragonhorn
faction.name.18,Greenspire
faction.name.19,Twilighton
faction.name.20,Crystallia
faction.name.21,Wonderlore
faction.name.22,Frostkeep
faction.name.23,Beastwood
faction.name.24,Wave Market
faction.name.25,Overgrowth
faction.name.26,Fairytale Glen
faction.name.27,Icy Gorge
faction.name.28,Darkwood
faction.name.29,Mirror Pond
faction.name.30,Twilight Fortress
faction.name.31,Dreamfall
faction.name.32,Emerald Hill
faction.name.33,Goldhaven
faction.name.34,Silver River
faction.name.35,Lost City
faction.name.36,Thunder Peak
faction.name.37,Dustrock
faction.name.38,Living Valley
faction.name.39,Amber Dawn
faction.name.40,Crystal Cave
faction.name.41,Emerald Maze
faction.name.42,Starry Grove
faction.name.43,Blaze Crown
faction.name.44,Goldhaven
faction.name.45,Clearmoon
faction.name.46,Windblaze
faction.name.47,Starhome
faction.name.48,Raven Town
faction.name.49,Shadowglide
faction.name.50,Sparkvale
faction.name.51,Treewood
faction.name.52,Gleamvale
faction.name.53,Underkeep
faction.name.54,Enchantedge
faction.name.55,Crystallight
faction.name.56,Forgottenreach
faction.name.57,Blazefall
faction.name.58,Dreamcrest
faction.name.59,Frostpeak
faction.name.60,Greatmist
faction.name.61,Beasthaven
faction.name.62,Hiddenspire
faction.name.63,Overcanyon
faction.name.64,Windy Meadow
faction.name.65,Dark Cave
faction.name.66,Icy Cascade
faction.name.67,Mystic City
faction.name.68,Silent Shore
faction.name.69,Dense Thicket
faction.name.70,Blazing Dawn
faction.name.71,Living Oasis
faction.name.72,Sunlit Alley
faction.name.73,Misty Brook
faction.name.74,Lost Sentinel
faction.name.75,Goldenspike
faction.deserted_soldiers,Deserter
faction.player_untitled,Para Bangsawan Rendah
0map.appoint.sub_category.others,Lainnya
9map.appoint.sub_category.expansion,Ekspansi
8map.appoint.sub_category.others,Lainnya
product_change_price.neighbore_town_attacked,"Karena serangan pada {faction_uuid_town}, harga lebih tinggi sebesar <red>{price_factor}%</red>."
no_defence_allies,Tidak Ada Sekutu
map.category.lords,Para Bangsawan
map.hostage_player,Tebusan untuk Sandera
map.lord_low_loyalty,Bangsawan siap pergi
map.lord_rebellion.nobody_support,Tidak Ada
map.lord_rebellion_heir,Pemberontakan Ahli Waris
map.lord_rebellion_king,Perlindungan terhadap Pemberontakan
map.hire_bandits,Merekrut Perampok
map.solders_gift,Tawarkan Bantuan
map.appoint.events,Peristiwa
map.category.criminals,Perbuatan Gelap
map.category.politics,Politik
map.category.attack,Serangan
map.category.marriage,Pernikahan
map.category.trade,Perdagangan
map.abandoned_town,Kota Terbengkalai
map.marriage_female,Pengantin Wanita yang Akan Dinikahkan
map.marriage_male,Pengantin Pria yang Akan Dinikahkan
map.loan,Peminjaman Uang
map.king_tribute,Ancaman Perampokan
map.king_tribute_light,Permintaan Upeti yang Sopan
map.demand_tribute,Permintaan Upeti yang Sopan
map.assault_fair,Rampas Kota
map.assault_unfair,Rampas Kota
map.city_burn_ai,Ancaman Penghancuran
map.demand_peace,Usul Perjanjian Damai
map.declared_peace_broken,Perjanjian Damai Dibatalkan
map.trade_agreement_broken,Perjanjian Perdagangan Dibatalkan
map.declared_peace,Perdamaian Telah Tercipta
map.demand_defence_alliance_to_player,Usul Aliansi
map.declared_defence_alliance,Aliansi Kota Bebas
map.demand_defence_ally_army,Permintaan Bantuan
map.demand_vassal_waiting,Menunggu Tanggapan
map.demand_vassal_attack_waiting,Menunggu Serangan
map.demand_vassal_light_player,Tuntut Kewajiban Bawahan
map.demand_vassal_player,Tuntut Kewajiban Bawahan
map.help_against_faceless,Bantuan Melawan Hor Hampa
map.demand_kill_own_bandits_camp,Tuntut Penghapusan Perampok
map.conquest,Memulihkan Kewajiban Bawahan
map.king_attack,Tuntut Pengepungan
map.demand_attack,Tuntut Pengepungan
map.slaves_offer,Penjualan Tahanan
map.trade_offer,Tawaran Perdagangan
map.trade_request,Permintaan Perdagangan
map.village,Desa
map.village_neighbore,Desa Raja Tetangga
map.village.short,"Pemukiman kecil tanpa akses ke perdagangan, besi, atau alat canggih."
map.burned_village,Desa yang Dibakar
map.burned_village.short,"Desa yang dirampas dan dibakar. Setelah beberapa waktu, penduduk yang bersembunyi di hutan sekitar akan kembali dan membangunnya kembali, tapi untuk saat ini, tidak ada siapa-siapa di sini."
map.protect,Ancaman Serangan
map.protect.short,Sekelompok perampok sedang berkumpul di dekat desa.
map.tribute,Upeti
map.tribute.short,- Desa telah memanen hasil panennya dan siap membayar upeti kepada Anda.
map.mill,Peningkatan pabrik
map.mill.short,Tetua desa berencana untuk meningkatkan pabrik desa.
map.hungry,Kelaparan
map.hungry.short,Panen buruk di desa. Makanan dibutuhkan.
map.sick,Wabah
map.sick.short,Wabah penyakit. Obat-obatan sangat dibutuhkan.
map.meat,Kandang Babi Baru
map.meat.short,Penduduk meminta bantuan untuk membangun kandang babi.
map.bandits_camp,Kemah Perampok Hutan
map.bandits_camp.short,Dihuni oleh perampok hutan. Mereka sesekali akan menyerang pemukiman Anda.
map.bandits_hostage,Sandera - {lord_name}
map.bandits_hostage.short,Seorang Bangsawan disandera dan tebusan diminta.
map.wolfes,Fleshwolf di Dekat
map.wolfes.short,"Sekelompok fleshwolf telah memblokir jalan ke pemukiman Anda. Namun, mereka mungkin segera pergi."
map.slaves,Tahanan Pelarian
map.slaves.short,Sekelompok tahanan kabur dari {city_name} terlihat di dekat kota Anda.
map.fanatics,Kelompok Penggemar Flagel
map.fanatics.short,Kelompok kecil peziarah penggemar flagel meminta makanan.
map.theif,Pencuri yang Kabur
map.theif.short,"Seorang pencuri terlihat di dekat sini, yang baru-baru ini bekerja di kota {city_name}."
map.lord_in_run,Bangsawan yang Kabur
map.lord_in_run.short,Seorang Bangsawan dari {house_name_1} telah melarikan diri dari penahanan {house_name_2}. Pengejar sudah dekat.
map.lord_in_run_2,Bangsawan yang Kabur
maplord_in_run_2.short,Bangsawan dari {house_name_1} dikejar oleh perampok. Pasukannya hampir habis.
map.lord_in_run_3,Bangsawan yang Kabur
map.lord_in_run_3.short,Bangsawan dari faksi {house_name_1} telah memutuskan untuk meninggalkan rumah dan mencari perlindungan.
map.lovers_in_run,
map.lovers_in_run.short,Dua pemuda dari rumah berbeda saling jatuh cinta dan kabur.
map.caravan,Karavan yang Dilindungi
map.caravan.short,Karavan dari {house_name_1} dengan tahanan dan barang sedang menuju {city_name_2}.
map.dispute,
map.dispute.short,Dua rumah sedang bertengkar atas kepemilikan desa. Anda bisa mendukung salah satunya.
map.bride,Pengantin Wanita Mencari Calon
map.bride.short,"{soul_uuid_bride} telah mencapai usia pernikahan, dan raja sedang mencari pasangan yang cocok untuknya."
map.groom,Pengantin Pria Mencari Calon
map.groom.short,"{soul_uuid_groom} telah mencapai usia pernikahan, dan raja sedang mencari pasangan yang cocok untuknya."
map.q_hermit,
map.long.q_hermit,
map.q_hermit.short,
map.risk.q_hermit,
map.menu.quest.description,DESKRIPSI
map.menu.quest.details,Detail
map.menu.quest.consequences,Konsekuensi Mungkin
map.menu.quest.reward,HADIAH YANG MUNGKIN
map.menu.quest.reward_or,atau
map.menu.status.days_left,{remain_days} hari tersisa
map.menu.modal.result.success,Berhasil!
map.menu.modal.result.fail,Gagal!
map.menu.modal.ok,Oke
map.menu.status.timeless,Tak Terbatas
map.menu.status.go_home,Kembali ke Rumah
map.menu.quest.ignore,Mengabaikan
map.menu.quest.waiting,Menunggu
map.menu.quest.time_over,Perjanjian Telah Kedaluwarsa
map.menu.quest.tragic,Kecelakaan Tragis
map.menu.quest.bad_opinion,Hubungan Buruk
map.menu.quest.hostage_rescue,Pembebasan Sandera
map.menu.button.create_army,Buat Regu Baru
map.menu.button.send_army,Kirim
map.menu.prepare_to_battle.header,Pertempuran di {place}
map.menu.prepare_to_battle.in_town,di gerbang {town_name}
map.menu.prepare_to_battle.near_town,di dekat {town_name}
map.menu.prepare_to_battle.battle_begin,Pertempuran Dimulai
map.menu.town.guest_lords,Tamu Bangsawan
map.menu.town.information,Informasi
map.menu.town.economic,Ekonomi
map.menu.town.army,Tentara
map.menu.army_composition,Komposisi Tentara
map.menu.town.local_lords,Para Bangsawan lokal
map.menu.town.ruling_family,Keluarga Penguasa
map.menu.town.status.hostile,Permusuhan
map.menu.town.status.friendly,Ramah
map.menu.town.status.neutral,Netral
map.menu.town.status.independent,Independen
map.menu.town.status.vassal,Bawahan
map.menu.town.status.suzerain,Atasan
map.menu.town.relations,Hubungan
map.menu.messenger,Utusan
map.army,Tentara
map.declared_trade_agreement,Perjanjian Perdagangan
map.forcing_neutrality,Memaksa Netralitas
map.personal_conflict,Konflik Antar Tetangga
map.help_against_bandits,Bantuan Melawan Perampok
map.help_against_mountains_bandits,Bantuan Melawan Perampok
map.neutralization_order,Perintah Netralisasi
map.menu.town.status.ally,Dalam Aliansi
map.menu.town.status.alliance_leader,Kepala Aliansi
map.stolen_rings_offer,Cincin Suci yang Dicuri
map.holy_defence_was_removed,"<red>Perlindungan Keluarga Penuh Kasih telah dihapus!</red>

Aksi agresif berarti Anda tidak lagi memerlukan <hint=hint_holy_protection>Perlindungan Keluarga Penuh Kasih</hint>."
map.holy_defence_will_be_removed,<hint=hint_holy_protection>Perlindungan Keluarga Penuh Kasih</hint> akan dihapus!
map.trade.offer.alias,Kota menjual: {resource_name}
map.trade.request.alias,Kota membeli: {resource_name}
map.menu.town.king_family,KELUARGA RAJA
map.menu.town.guests,TAMU
map.menu.town.faction_lords,Bangsawan {town}
map.menu.town.vassal_of,Bawahan dari
map.menu.town.ally_of,Sekutu dari
map.player_vassal_rebellion,Bawahan Pemberontak
product_change_price.rats_invasion,"Karena <hint=hint_prophecy_rats_invasion>Invasi Tikus</hint>, harga lebih tinggi sebesar <red>{price_factor}%</red>."
product_change_price.tree_bug,"Karena <hint=hint_prophecy_tree_bug>kumbang kayu</hint>, harga lebih tinggi sebesar <red>{price_factor}%</red>."
product_change_price.fields_sick,"Karena <hint=hint_prophecy_fields_sick_one>infeksi tanaman</hint>, harga lebih tinggi sebesar <red>{price_factor}%</red>."
map.universal_help.danger_army,<center>Tentara Penyerang:</center>
map.appoint.estimated_time,Estimasi waktu penyelesaian tugas: {estimated_time}
map.appoint.estimated_time_army,Jalan akan memakan waktu {estimated_time}
map.appoint.tasks,Aksi
map.category.improve_relations,Memperbaiki Hubungan
map.guest.remain_stay_time,"<tight><center><b>Karakter sedang berada di luar kota</b></center>.

</tight>Karakter ini saat ini adalah tamu di kota {faction_uuid}.

Mereka kemungkinan akan pulang dalam {remain_time}."
map.your_province,Provinsi Anda
map.burn_town_waiting,Bersiap Membakar Kota
map.last_female_in_faction,Anda memiliki satu-satunya wanita yang belum menikah tersisa
map.defence_alliance_leaving_ai,Konflik dengan Sekutu
map.defence_alliance_leaving_player,Konflik dengan Pemimpin Aliansi
product_change_price.temporary,Kenaikan harga sementara sebesar <red>{price_factor}%</red>
actor.deep_social_alias.abuse_1,{name_initiator} mempermalukan {name_target}
actor.deep_social_alias.abuse_2,{name_initiator} menghina {name_target}
actor.deep_social_alias.abuse_3,{name_initiator} memarah {name_target}
actor.deep_social_alias.abuse_4,{name_initiator} menginjak {name_target} seperti keset
actor.deep_social_alias.abuse_5,{name_initiator} menginjak {name_target} ke lumpur
actor.deep_social_alias.abuse_6,{name_initiator} menghancurkan {name_target} secara emosional
actor.deep_social_alias.abuse_7,{name_initiator} membungkam {name_target}
actor.deep_social_alias.deep_talk_1,{name_initiator} memuji {name_target}
actor.deep_social_alias.deep_talk_2,{name_initiator} berbincang dari hati dengan {name_target}
actor.deep_social_alias.deep_talk_3,{name_initiator} menghibur {name_target}
actor.deep_social_alias.deep_talk_4,{name_initiator} menghibur {name_target}
actor.deep_social_alias.deep_talk_5,{name_initiator} berterima kasih kepada {name_target}
actor.deep_social_alias.deep_talk_6,{name_initiator} memuji {name_target}
actor.deep_social_alias.deep_talk_7,{name_initiator} memberi penghargaan kepada {name_target}
actor.deep_social_alias.evil_joke_1,{name_initiator} mengejek {name_target}
actor.deep_social_alias.evil_joke_2,{name_initiator} membuat {name_target} tampak bodoh
actor.deep_social_alias.evil_joke_3,{name_initiator} menggoda {name_target}
actor.deep_social_alias.evil_joke_4,{name_initiator} mengejek {name_target}
actor.deep_social_alias.evil_joke_5,{name_initiator} memparodikan {name_target}
actor.deep_social_alias.evil_joke_6,{name_initiator} mengejek {name_target} secara sarkastik
actor.deep_social_alias.flattery_1,{name_initiator} merayu {name_target}
actor.deep_social_alias.flattery_2,{name_initiator} merayu {name_target}
actor.deep_social_alias.flattery_3,{name_initiator} mencari muka dengan {name_target}
actor.deep_social_alias.flattery_4,{name_initiator} merangkak di hadapan {name_target}
actor.deep_social_alias.flattery_5,{name_initiator} mengagumi {name_target} secara tidak tulus
actor.deep_social_alias.flattery_6,{name_initiator} memuji setinggi-tingginya {name_target}
actor.deep_social_alias.flattery_7,{name_initiator} memuji ego {name_target}
actor.deep_social_alias.good_joke_1,{name_initiator} bertukar lelucon cerdas dengan {name_target}
actor.deep_social_alias.good_joke_2,{name_initiator} menceritakan lelucon baru kepada {name_target}
actor.deep_social_alias.good_joke_3,{name_initiator} tertawa bersama {name_target}
actor.deep_social_alias.good_joke_4,{name_initiator} berbagi cerita pendek dengan {name_target}
actor.deep_social_alias.good_joke_5,{name_initiator} menunjukkan parodi kepada {name_target}
actor.deep_social_alias.intrigue_1,{name_initiator} berbagi rumor dengan {name_target}
actor.deep_social_alias.intrigue_2,{name_initiator} mengungkapkan seluruh kebenaran kepada {name_target}
actor.deep_social_alias.intrigue_3,{name_initiator} mengonfirmasi ketakutan {name_target}
actor.deep_social_alias.intrigue_4,{name_initiator} berbagi rahasia dengan {name_target}
actor.deep_social_alias.intrigue_5,{name_initiator} membuka mata {name_target}
actor.deep_social_alias.intrigue_6,{name_initiator} mengungkap esensi {name_target}
actor.deep_social_alias.intrigue_7,{name_initiator} memberi isyarat halus kepada {name_target}
actor.deep_social_alias.slight_1,{name_initiator} meremehkan {name_target}
actor.deep_social_alias.slight_2,{name_initiator} mengabaikan {name_target}
actor.deep_social_alias.slight_3,{name_initiator} menempatkan {name_target} pada tempatnya
actor.deep_social_alias.slight_4,{name_initiator} berpura-pura tidak mendengar {name_target}
actor.deep_social_alias.sorry_1,{name_initiator} meminta maaf kepada {name_target}
actor.deep_social_alias.bye_1,"{name_initiator} mengucapkan selamat tinggal kepada {name_target} sebelum pergi.
"
actor.deep_social_alias.bye_2,{name_initiator} berjanji kepada {name_target} bahwa mereka akan kembali secepat mungkin.
actor.deep_social_alias.bye_3,{name_target} mengucapkan perjalanan selamat kepada {name_initiator}.
actor.deep_social_alias.flirt_1,{name_initiator} sedang mencoba merayu {name_target}
actor.deep_social_alias.flirt_2,{name_initiator} sedang mengajak {name_target} kencan
actor.deep_social_alias.flirt_3,{name_initiator} sedang menggoda {name_target} dengan berbahaya
actor.deep_social_alias.flirt_4,{name_initiator} sedang berjanji malam panas kepada {name_target}
opinion_mind_interest.hint_title,Ketertarikan: {interest}
opinion_mind_interest.zodiak_signs,Bau
opinion_mind_interest.beauty,Penampilan
opinion_mind_interest.age,Pesona Pemuda
opinion_mind_interest.drank,Pengaruh Alkohol
opinion_mind_interest.love,Cinta
opinion_mind_interest.religious_fan,Perselisihan Agama
opinion_mind_interest.scars,Bekas Luka
opinion_mind_interest.ugly,Cacat
opinion_mind_interest.romantic,Kebutuhan Seks
opinion_mind_interest.opinion,Hubungan
opinion_mind_interest.manners,Tata Krama
opinion_mind_interest.guest,Tamu
opinion_mind_interest.has_paramour,Perasaan terhadap Pasangan Saat Ini
opinion_mind_rumor_prefix,Rumor: {rumor}
opinion_mind.abuse,Menghina saya
opinion_mind.abuse_paramour,Menghina pasangan
opinion_mind.adultery,Tidak Sadar Perselingkuhan Saya
opinion_mind.blinded_relative,Membutakan Orang Tercinta
opinion_mind.bribe_me,Menyuap Saya
opinion_mind.chitchat,Obrolan Ringan
opinion_mind.close_relative,Kerabat Dekat
opinion_mind.convicted_of_adultery,Pengkhianatan Pasangan
opinion_mind.coward,Penakut
opinion_mind.criminal,Terlibat dalam Kejahatan
opinion_mind.deep_talk,Memiliki Percakapan Mendalam
opinion_mind.drunk_fight,Perkelahian Mabuk
opinion_mind.beat_me,Memukuli Saya
opinion_mind.envy_happy,Terlalu Bahagia!
opinion_mind.envy_runes,Iri dengan Cincin
opinion_mind.envy_for_babys,Iri dengan Keturunan
opinion_mind.envy_for_victory,Iri dengan Kemenangan
opinion_mind.evil_joke,Mengejek Saya!
opinion_mind.ex_paramour,Pasangan Mantan
opinion_mind.executed_relative,Menghukum Mati Orang Tercinta
opinion_mind.punished_me,Menghukum Saya!
opinion_mind.flattery,Merayu Saya
opinion_mind.flirt,Kencan yang Akan Datang
opinion_mind.game_of_dice_loose,Menang Melawan Saya dalam Permainan Dadu!
opinion_mind.gift,Memberi Saya Hadiah
opinion_mind.good_commander,Komandan Sukses
opinion_mind.good_joke,Tertawa Bersama dengan Hebat!
opinion_mind.king_gift,Memberi Saya Hadiah Kerajaan
opinion_mind.heir_envy,Keinginan untuk Takhta
opinion_mind.hunt_together,Berburu Bersama
opinion_mind.intrigue,Rumor Kotor
opinion_mind.sorry,Meminta Maaf
opinion_mind.jealousy,Saingan!
opinion_mind.love,Saya Gila Dengannya!
opinion_mind.negative_rumor_1,Makan di Malam Hari
opinion_mind.negative_rumor_10,Merencanakan Pergi Selamanya
opinion_mind.negative_rumor_11,Menderita Penyakit Kelamin
opinion_mind.negative_rumor_12,Mengompol di Tempat Tidur
opinion_mind.negative_rumor_13,Menyimpan Sampah
opinion_mind.negative_rumor_14,Ateis Rahasia
opinion_mind.negative_rumor_15,Tidur di Tikar di Dekat Pintu
opinion_mind.negative_rumor_16,Piyromaniak Rahasia
opinion_mind.negative_rumor_17,Jarang Mandi
opinion_mind.negative_rumor_18,Selalu Menyelesaikan Sisa Makanan
opinion_mind.negative_rumor_19,Berjalan Telanjang di Malam Hari
opinion_mind.negative_rumor_2,Mengorek Hidung
opinion_mind.negative_rumor_20,Dikuasai Roh Jahat
opinion_mind.negative_rumor_21,Memuja Tunggul
opinion_mind.negative_rumor_22,Tidak Mampu Berhubungan Seks
opinion_mind.negative_rumor_23,Menggaruk Ketiak
opinion_mind.negative_rumor_24,Makan Serangga
opinion_mind.negative_rumor_25,Berteriak di Malam Hari
opinion_mind.negative_rumor_3,Mengintip Pelayan
opinion_mind.negative_rumor_4,Kentut
opinion_mind.negative_rumor_6,Minum Banyak
opinion_mind.negative_rumor_7,Menggunjing di Belakang
opinion_mind.negative_rumor_8,Mencuri Peralatan Makan
opinion_mind.negative_rumor_9,Membotak
opinion_mind.night_murder,Pembunuh Kejam
opinion_mind.other_relatives,Kerabat Lain
opinion_mind.paramour,Pasangan Jiwa
opinion_mind.paranoid_hate,Kebencian Paranoid
opinion_mind.personality_arrogant,Meremehkan karena Kemiskinan
opinion_mind.personality_contradictory_hate,Kebencian Tak Terjelaskan
opinion_mind.personality_contradictory_love,Cinta Tak Terjelaskan
opinion_mind.personality_mismatch,Kepribadian Tidak Menyenangkan
opinion_mind.personality_mismatch_heavy,Kepribadian Sangat Tidak Menyenangkan
opinion_mind.positive_rumor_1,Secara Rahasia Menulis Puisi
opinion_mind.positive_rumor_10,Romantis Rahasia
opinion_mind.positive_rumor_11,Menyesali Masa Lalu
opinion_mind.positive_rumor_12,Melihat Orang Mati
opinion_mind.positive_rumor_13,Sakit Parah
opinion_mind.positive_rumor_15,Sangat Sayang Anak-anak
opinion_mind.positive_rumor_16,Memelihara Tikus Peliharaan
opinion_mind.positive_rumor_17,Memiliki Kemampuan Hipnosis
opinion_mind.positive_rumor_18,Cinta Secara Rahasia
opinion_mind.positive_rumor_2,Lembut di Ranjang
opinion_mind.positive_rumor_3,Depresi Tersembunyi
opinion_mind.positive_rumor_4,Dihantui Rasa Bersalah
opinion_mind.positive_rumor_5,Menanam Bunga
opinion_mind.positive_rumor_6,Mimpi Belajar Terbang
opinion_mind.positive_rumor_7,Mengumpulkan Gesper Sabuk
opinion_mind.positive_rumor_8,Secara Rahasia Membantu Orang Sakit
opinion_mind.positive_rumor_9,Bisa Melakukannya Lima Kali dalam Satu Malam
opinion_mind.pretender_envy,Iri dengan Ahli Waris
opinion_mind.refuse_flirt,Menolak Kencan
opinion_mind.refuse_flirt_full,Menolak Saya! Beraninya Dia!
opinion_mind.reward_me,Memberi Hadiah kepada Saya
opinion_mind.sex,Menghabiskan Malam Bersama!
opinion_mind.shame_relative,Mempermalukan Orang Tercinta
opinion_mind.slight,Meremehkan Saya
opinion_mind.spouse,Pasangan
opinion_mind.suspicion_of_adultery,Dicurigai Selingkuh
