Key,Russian,English,Comments,Timestamp,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian
opinion_mind.positive_rumor_1,Тайно пишет стихи,Secretly writes poetry,,,Secretly writes poetry,Tajně píše poezii,Escreve poesia secretamente,Escribe poesía en secreto,Potajemnie pisze poezję,悄悄地写诗,私底下會寫詩,密かに詩を書く,남몰래 시를 씀,Verfasst insgeheim Poesie,Écrit des poèmes secrètement,Scrive poesie in segreto,Gizlice şiir yazıyor,Titokban verseket ír,Потайки пише поезію
opinion_mind.positive_rumor_10,Тайный романтик,Secret romantic,,,Secret romantic,Tajný romantik,Romântico secreto,Disfruta del romanticismo en secreto,Potajemny romantyk,神秘的浪漫主义者,私底下很浪漫,隠れロマンチスト,비밀 낭만파,Insgeheim romantisch veranlagt,Secrètement romantique,Romanticismo in segreto,Gizli romantik,Titokban romantikus,Прихована романтичність
opinion_mind.positive_rumor_11,Жалеет о прошлом,Regrets the past,,,Regrets the past,Lituje minulosti,Arrepende-se do passado,Se arrepiente de su pasado,Żałuje przeszłości,后悔过去,過往有遺憾,過去を悔やむ,과거를 후회함,Bereut die Vergangenheit,Regrette le passé,Rimpiange il passato,Geçmişten pişmanlık duyuyor,Bánja a múltat,Шкодує за минулим
opinion_mind.positive_rumor_12,Видит умерших,Sees the dead,,,Sees the dead,Vidí mrtvé,Vê os mortos,Ve a los muertos,Widzi duchy,能看见亡者,看得見亡靈,死者を見る,죽은 사람이 보임,Sieht tote Menschen,Voit des personnes mortes,Vede i defunti,Ölüleri görüyor,Holtakat látja,Бачить мертвих
opinion_mind.positive_rumor_13,Смертельно болен,Terminally ill,,,Terminally ill,Smrtelná nemoc,Doente terminal,Tiene una enfermedad terminal,Śmiertelna choroba,绝症,病入膏肓,末期症状,말기 환자,Sterbenskrank,En phase terminale,Malattia terminale,Ölümcül hasta,Halálos beteg,Смертельна хвороба
,,Intimate area tattoo,,,Intimate area tattoo,Tetování na intimním místě,,Tiene un tatuaje en una zona íntima,Tatuaż w miejscu intymnym,,,,,,,,,Intim tetoválása van,Татуювання на інтимному місці
opinion_mind.positive_rumor_15,Обожает детей,Adores children,,,Adores children,Zbožňuje děti,Adora crianças,Adora a los niños,Uwielbia dzieci,喜爱孩子,喜歡小孩,子供たちを慕う,아이들을 좋아함,Liebt Kinder,Adore les enfants,Adora i bambini,Çocukları çok seviyor,Imádja a gyerekeket,Любить дітей
opinion_mind.positive_rumor_16,Держит домашнюю крысу,Keeps a pet rat,,,Keeps a pet rat,Chová si krysu,Tem um rato de estimação,Tiene una rata como mascota,Posiada udomowionego szczura,养了一只宠物鼠,有養寵物鼠,ペットのネズミを飼う,애완 쥐를 키움,Hält eine Ratte als Haustier,Possède un rat,Ha un ratto domestico,Evcil faresi var,Házipatkányt tart,Тримає вдома пацюка
opinion_mind.positive_rumor_17,Владеет гипнозом,Has hypnosis abilities,,,Has hypnosis abilities,Umí hypnotizovat,Tem habilidades de hipnose,Tiene dotes de hipnotismo,Potrafi hipnotyzować,有催眠能力,有催眠能力,催眠能力を持つ,최면 능력이 있음,Beherrscht Hypnose,A des pouvoirs d'hypnose,Possiede abilità ipnotiche,Hipnoz yetenekleri var,Hipnotikus képességei vannak,Вміє гіпнотизувати
opinion_mind.positive_rumor_18,Тайно влюблен,Secretly in love,,,Secretly in love,Tajná zamilovanost,Apaixonado secretamente,Se ha enamorado en secreto,Potajemna miłość,暗恋,有秘密戀情,密かに恋する,남몰래 짝사랑 중,Insgeheim verliebt,Cache son amour,Amore segreto,Gizli âşık,Titokban szerelmes,Таємна закоханість
opinion_mind.positive_rumor_2,Нежен в постели,Tender in bed,,,Tender in bed,Něžnosti v posteli,Carinhoso na cama,Muestra ternura en la cama,Wrażliwość w łóżku,房事温柔,做愛很溫柔,ベッドでは優しい,침대에서 다정함,Sanft im Bett,Est tendre au lit,Dolce a letto,Yatakta çok şefkatli,Gyengéd szerető,Ніжність у ліжку
opinion_mind.positive_rumor_3,Тайная депрессия,Hidden depression,,,Hidden depression,Tajná deprese,Depressão escondida,Oculta su depresión,Ukrywa depresję,隐藏的抑郁症,隱性憂鬱症,隠れうつ病,숨겨진 우울증,Verbirgt eine Depression,Cache sa dépression,Depressione repressa,Gizli depresyon,"Nem látszik, de depressziós",Прихована депресія
opinion_mind.positive_rumor_4,Мучается чувством вины,Haunted by guilt,,,Haunted by guilt,Pronásledování vinou,Assombrado pela culpa,Le persigue la culpa,Wyrzuty sumienia,受罪恶感折磨,飽受內疚折磨,罪にさなまれる,죄책감에 시달림,Von Schuldgefühlen geplagt,Ressent de la culpabilité,Senso di colpa,Suçluluk onu yiyip bitiriyor,Marja a bűntudat,Мучить почуття провини
opinion_mind.positive_rumor_5,Сажает цветы,Plants flowers,,,Plants flowers,Sází květiny,Planta flores,Planta flores,Sadzi kwiaty,种花,愛種花,花を植える,꽃을 심음,Pflanzt Blumen,Plante des fleurs,Pianta fiori,Çiçek ekiyor,Virágokat ültet,Саджає квіти
opinion_mind.positive_rumor_6,Мечтает научиться летать,Dreams of learning to fly,,,Dreams of learning to fly,"Sní o tom, že se naučí létat",Sonha em aprender a voar,Sueña con aprender a volar,"Marzy, by nauczyć się latać",梦想学习飞行,夢想是飛上天,空を飛ぶことを夢見る,나는 법을 배우는 꿈을 꿈,"Träumt davon, fliegen zu lernen",Rêve d'apprendre à voler,Sogna di imparare a volare,Uçmayı öğrenmeyi hayal ediyor,A repülésről álmodozik,Мріє навчитися літати
opinion_mind.positive_rumor_7,Коллекционирует пряжки ремней,Collects belt buckles,,,Collects belt buckles,Sbírá přezky,Coleciona fivelas de cinto,Colecciona hebillas,Zbiera sprzączki od pasów,收集腰带扣,喜歡收集皮帶頭,ベルトのバックルを集める,벨트 버클을 수집함,Sammelt Gürtelschnallen,Collectionne les boucles de ceinture,Colleziona fibbie,Kemer tokası topluyor,Övcsatokat gyűjt,Колекціонує пряжки від ременів
opinion_mind.positive_rumor_8,Тайно помогает больным,Secretly helps the sick,,,Secretly helps the sick,Tajně pomáhá nemocným,Ajuda os doentes em segredo,Ayuda en secreto a los enfermos,Potajemnie pomaga chorym,暗中帮助病人,私下會幫助生病的人,密かに病人を助ける,남몰래 환자를 도움,Hilft insgeheim den Kranken,Aide secrètement les malades,Aiuta gli infermi in segreto,Gizlice hastalara yardım ediyor,Titokban betegeken segít,Потайки допомагає хворим
opinion_mind.positive_rumor_9,Может 5 раз за ночь,Can do it five times in one night,,,Can do it five times in one night,Dokáže to dělat pětkrát za noc,Faz sexo 5x em uma noite,Puede hacerlo cinco veces en una noche,Może pięć razy w ciągu jednej nocy,一夜能做五次,一夜七次郎,一晩で5回はできる,하룻밤에 다섯 번 가능,Kann es in einer Nacht fünfmal treiben,Peut forniquer cinq fois en une seule nuit,Può farlo cinque volte a notte,Bir gecede beş posta atabiliyor,Ötször is megy neki egy este,Може п'ять разів за ніч
opinion_mind.pretender_envy,Зависть к наследнику,Envy of the heir,,,Envy of the heir,Závist kvůli dědici,Inveja do herdeiro,Envidia al heredero,Zazdrości spadkobiercy,嫉妒王位继承人,嫉妒王儲,相続人への嫉妬,후계자 질투,Neid auf den Erben,Jalousie envers l'héritier ou héritière,Invidia dell'erede,Vârisi kıskanıyor,Irigy az örökösre,Заздрість спадкоємцю
opinion_mind.refuse_flirt,Не согласился на свидание,Refused a date,,,Refused a date,Odmítnutí rande,Rejeitou um encontro,Ha rechazado una cita,Nie zgadza się na schadzkę,拒绝约会,拒絕約會,デートの誘いを断った,데이트를 거부함,Verweigerte ein Rendezvous,A refusé un rendez-vous galant,Rifiuto di incontro romantico,Randevuyu reddetti,Nem jött el a randevúra,Відмова у побаченні
opinion_mind.refuse_flirt_full,Отверг меня! Да как он смеет!,Rejected me! How dare he!,,,Rejected me! How dare he!,Od mě odmítl! Jak se opovažuje!,Ele me rejeitou! Como se atreve!,¡Me ha rechazado! ¡¿Cómo se atreve?!,Odrzucono mnie! Jak śmie!,他拒绝了我！他怎么敢的！,竟敢拒絕我！,断られた！なんて人なの！,날 거부하다니! 어떻게 감히!,Wies mich ab! Wie kann er es wagen?!,A refusé ma compagnie ! Quel culot !,Mi ha rifiutato! Come osa!,Beni reddetti! Bu ne cüret ya?,Visszautasított! Hogy merészeli?,Відмовляє мені! Як тільки сміє!
opinion_mind.reward_me,Наградил меня,Rewarded me,,,Rewarded me,Získání odměny,Recompensou-me,Me ha recompensado,Nagrodzono mnie,奖赏了我,賞賜了我,褒賞が与えられた,나에게 보상함,Belohnte mich,M'a récompensé·e,Mi ha ricompensato,Beni ödüllendirdi,Megjutalmazott,Винагороджує мене
opinion_mind.sex,Провели ночь вместе!,Spent the night together!,,,Spent the night together!,Strávili jsme spolu noc!,Passaram a noite juntos!,¡Hemos pasado la noche juntos!,Spędziliśmy razem noc!,一起过夜了！,共度了良宵,共に一夜を過ごした！,같이 밤을 보냈어!,Verbrachten die Nacht zusammen!,Ont passé la nuit ensemble !,Passato la notte insieme!,Geceyi beraber geçirdi!,Együtt töltöttük az éjszakát!,Провели ніч разом!
opinion_mind.shame_relative,Обесчестил близкого,Disgraced a loved one,,,Disgraced a loved one,Zneuctění milované osoby,Desonrou uma pessoa amada,Ha deshonrado a un ser querido,Znieważono ukochaną osobę,让亲人蒙羞,藐視我的至親,愛する人の名誉を傷つけた,사랑하는 이를 망신 줌,Blamierte eine geliebte Person,A déshonoré un être aimé,Disonore di una persona cara,Sevdiği birini rezil etti,Megszégyenítette egy szerettemet,Осоромлено близьку людину
opinion_mind.slight,Пренебрег мной,Disregarded me,,,Disregarded me,Ignoruje mě,Ignorou-me,Me ha menospreciado,Znieważono mnie,轻视我,瞧不起我,無視された,나를 망신 줌,Vernachlässigte mich,M'a ignoré·e,Mi ha disprezzato,Beni rezil etti,Semmibe vett,Не звертає на мене увагу
opinion_mind.spouse,Супруг,Spouse,,,Spouse,Choť,Cônjuge,Cónyuge,Poślubieni,配偶,配偶,配偶者,배우자,Partner,Époux·se,Coniuge,Eş,Házastárs,Подружжя
opinion_mind.suspicion_of_adultery,"Мне кажется, он мне изменяет...",Suspected adultery,,,Suspected adultery,Podezření na nevěru,Suspeita de adultério,Sospecha de adulterio,Podejrzenie o zdradę,涉嫌通奸,懷疑通姦,不倫を疑われた,외도 의심,Verdacht auf Ehebruch,Soupçon d'adultère,Sospetto di adulterio,Aldatma şüphesi,Házasságtörés gyanúja,Підозра в зраді
opinion_mind.try_to_kill_me,Пытался меня убить,Tried to kill me!,,,Tried to kill me!,Snažili se mě zabít!,Tentou me matar!,¡Ha intentado matarme!,Próba zabójstwa!,企图杀我！,他想殺了我！,私を殺そうとした！,날 죽이려고 했어!,Wollte mich umbringen!,A essayé de me tuer,Ha cercato di uccidermi!,Beni öldürmeye çalıştı,Megpróbált megölni!,Намагається мене вбити!
opinion_mind.manners_good,Манерный,Well-mannered,,,Well-mannered,Dobré vychování,Bem-educado,Buenos modales,Dobre maniery,彬彬有礼,舉止得體,礼儀正しい,예의 바름,Gute Manieren,A une attitude respectueuse,Buone maniere,Terbiyeli,Jól nevelt,Гарні манери
opinion_mind.manners_too_high,Слишком манерный,Too well-mannered,,,Too well-mannered,Příliš dobré vychování,Muito bem-educado,Modales demasiado buenos,Zbyt dobre maniery,过于彬彬有礼,太過拘謹,礼儀正しすぎる,너무 예의 바름,Zu gute Manieren,A une attitude trop respectueuse,Maniere troppo impeccabili,Çok terbiyeli,Túl jól nevelt,Занадто гарні манери
opinion_mind.manners_too_low,Неотёсанная деревенщина,Uncouth peasant,,,Uncouth peasant,Neotesanec,Camponês grosseiro,Campesino ordinario,Nieokrzesanie,粗鄙的平民,舉止庸俗,野卑な農民,무례한 농민,Ungehobelter Bauer,Paysan·ne rustre,Rudezza,Görgüsüz köylü,Faragatlan paraszt,Селянська неотесаність
opinion_mind.pregnancy_father,Отец моего ребенка,Father of my child,,,Father of my child,Otec mého dítěte,Pai da minha criança,Padre de mi retoño,Ojciec mego dziecka,我孩子的父亲,孩子的父親,子供の父親,내 아이의 아버지,Vater meines Kindes,Père de mon enfant,Padre della mia prole,Çocuğumun babası,A gyermekem apja,Батько моєї дитини
opinion_mind.pregnancy_mother,Мать моего ребенка,Mother of my child,,,Mother of my child,Matka mého dítěte,Mãe da minha criança,Madre de mi retoño,Matka mego dziecka,我孩子的母亲,孩子的母親,子供の母親,내 아이의 어머니,Mutter meines Kindes,Mère de mon enfant,Madre della mia prole,Çocuğumun annesi,A gyermekem anyja,Мати моєї дитини
opinion_mind.dummy_bastard,Бастард от крестьянина,Bastard child of a peasant,,,Bastard child of a peasant,Nemanželské dítě rolníka,Filho bastardo de camponeses,Bastardo de origen campesino,Bękart chłopa,平民的私生子,庶民的私生子,農民の子として生まれた非嫡出子,농민의 사생아,Bastardkind eines Bauern,Enfant bâtard d'un paysan,Prole illegittima di un popolano,Köylüden doğma piç,Paraszt fattya,Байстрюк від простолюдина
opinion_mind.lord_bastard,Бастард от лорда,Bastard child of a lord,,,Bastard child of a lord,Nemanželské dítě lorda,Filho bastardo de nobres,Bastardo de un señor,Bękart lorda,领主的私生子,貴族的私生子,領主の子として生まれた非嫡出子,영주의 사생아,Bastardkind eines Lords,Enfant bâtard d'un noble,Prole illegittima di un nobile,Asilzadeden doğma piç,Nemesi fattyú,Байстрюк від вельможі
opinion_mind.child,Мое дитя,My child,,,My child,Moje dítě,Minha criança,Mi retoño,Moje dziecko,我的孩子,我的孩子,私の子供,내 아이,Mein Kind,Mon enfant,La mia prole,Çocuğum,A gyermekem,Моя дитина
opinion_mind.parent,Мой родитель,My parent,,,My parent,Můj rodič,Meu pai,Mi progenitor,Mój rodzic,我的父母,我的父母,私の親,내 부모,Mein Elternteil,Mon père/ma mère,Il mio genitore,Ebeveynim,A szülőm,Мої батьки
opinion_mind.rescued_from_captivity,Спас меня из плена!,Rescued me from captivity!,,,Rescued me from captivity!,Zachránili mě ze zajetí!,Resgatou-me do cativeiro!,¡Me ha rescatado del cautiverio!,Uratował mnie z niewoli!,把我从囚禁中救了出来！,解救了被俘的我！,囚われの身からの救出してくれた！,포로가 된 날 구해줬어!,Hat mich aus der Gefangenschaft befreit!,M'a secouru·e de la captivité,Mi ha salvato dalla prigionia!,Beni esaretten kurtardı!,Kiszabadított a fogságból!,Порятунок з полону!
opinion_mind.speeping_with_my_partner,Спал с моим партнером!,Sleeping with my partner!,,,Sleeping with my partner!,Spí s mým partnerem!,Dormindo com meu parceiro!,¡Está durmiendo con mi pareja!,Sypia z moim partnerem!,和我的伴侣睡在一起！,和我的伴侶有一腿！,パートナーと寝る！,내 파트너와 동침했어!,Schläft mit meine Partner!,Couche avec mon/ma partenaire !,Va a letto col mio partner!,Partnerimle sevişiyor!,A párommal hál!,Спить із моїм партнером!
opinion_mind.uncle,Дядя/Тетя,Uncle/Aunt,,,Uncle/Aunt,Strýc/teta,Tio/Tia,Tío/Tía,Ciocia/wuj,叔叔/阿姨,叔叔/阿姨,叔父/叔母,삼촌/고모/이모,Onkel/Tante,Oncle/Tante,Zio/Zia,Dayı/Hala,Nagybácsi/nagynéni,Дядько/Тітка
opinion_mind.nephew,Племянник/Племянница,Nephew/Niece,,,Nephew/Niece,Synovec/neteř,Sobrinho/Sobrinha,Sobrino/Sobrina,Kuzyn/kuzynka,侄子/侄女,姪甥/姪甥女,甥/姪,남자 조카/여자 조카,Neffe/Nichte,Neveu/Nièce,Nipote,Yeğen,Unokaöcs/unokahúg,Небіж/Небога
opinion_mind.brother,Брат/Сестра,Brother/Sister,,,Brother/Sister,Bratr/Sestra,Irmão/Irmã,Hermano/Hermana,Brat/siostra,兄弟/姐妹,兄/弟/姊/妹,兄弟/姉妹,남자 형제/여자 형제,Bruder/Schwester,Frère/Sœur,Fratello/Sorella,Erkek kardeş/kız kardeş,Fivér/nővér,Брат/Сестра
opinion_mind.related_marriage,Породнились через брак,Related through marriage,30,,Related through marriage,Příbuznost přes svatbu,Parente por casamento,Familiar por matrimonio,Powinowactwo,姻亲关系,姻親,結婚による関係,결혼을 통한 관계,Durch Ehe verwandt,Unis par les liens du mariage,Parentela tramite matrimonio,Evlilik yolu ile akraba,Házasság révén rokon,Спорідненість через шлюб
opinion_mind.returned_debt,Вернул долг,Returned a debt,10,,Returned a debt,Vrácení dluhu,Pagou uma dívida,Ha devuelto una deuda,Spłacono dług,还债,償還了債務,負債を返した,빚을 갚음,Beglich eine Schuld,A payé sa dette,Ha saldato un debito,Borcunu ödedi,Megadta az adósságát,Повертає борг
opinion_mind.not_returned_debt,Обманул мое доверие,Betrayed my trust,-50,,Betrayed my trust,Zrada mé důvěry,Traiu minha confiança,Ha traicionado mi confianza,Złamano moje zaufanie,背叛了我的信任,辜負了我的信任,信頼を裏切った,내 신뢰를 배신함,Missbrauchte mein Vertrauen,A trahi ma confiance,Ha tradito la mia fiducia,Güvenimi kırdı,Elárulta a bizalmam,Зраджує мою довіру
opinion_mind.not_returned_debt_neighbor,Не отдал долг соседу,Failed to repay a debt to a neighbor,-15,,Failed to repay a debt to a neighbor,Nesplacený dluh vůči sousedovi,Deve a um vizinho,No ha pagado una deuda a un vecino,Nie spłacono długu sąsiadowi,未能偿还邻邦的债务,未償還債務給鄰邦,隣人への借金の返済を怠った,이웃에 진 빚을 갚지 않음,Beglich eine Schuld bei Nachbarn nicht,N'a pas payé sa dette à une province voisine,Debitore verso un vicino,Komşusuna borcunu ödeyemedi,Nem adta meg az adósságát a szomszédnak,Не віддає борг сусіду
opinion_mind.player_paid_tribute,Заплатил мне дань,Paid me tribute,5,,Paid me tribute,Zaplatili mi příspěvek,Pagou-me tributo,Me ha pagado tributo,Zapłacono mi daninę,向我进贡,向我進貢了,敬意を表してくれた,공물 납부함,Zahlte mir Tribut,M'a payé un tribut,Mi ha pagato un tributo,Bana haraç ödedi,Hűbéradó fizetett nekem,Платить мені данину
opinion_mind.player_refuse_to_pay,Отказался платить,Refused to pay,-20,,Refused to pay,Odmítnutí zaplatit,Recusou-se a pagar,Se ha negado a pagar,Nie zgodzono się na zapłatę,拒绝支付,拒絕進貢,支払いを拒否した,지불을 거부함,Weigerte sich zu zahlen,A refusé de payer,Rifiuta di pagare,Ödemeyi reddetti,Nem volt hajlandó fizetni,Відмовляється платити
opinion_mind.king_demand_pay,Вымогал у меня дань,Extorted tribute from me,-20,,Extorted tribute from me,Vymohli ze mě příspěvek,Extorquiu tributo de mim,Me ha obligado a pagar tributo,Wymuszono ode mnie daninę,向我勒索贡金,逼我進貢,貢物を納めるよう強要された,나에게 공물을 갈취해 감,Rang mir einen Tribut ab,M'a extorqué un tribut,Mi ha estorto un tributo,Benden zorla haraç aldı,Hűbéradó követelt tőlem,Данина через шантаж
opinion_mind.attacked_me,Напал на меня,Attacked me,-20,,Attacked me,Zaútočili na mě,Atacou-me,Me ha atacado,Zaatakowano mnie,攻击了我,攻擊了我,襲われた,날 공격했음,Griff mich an,M'a attaqué·e,Mi ha attaccato,Bana saldırdı,Megtámadott,Нападає на мене
opinion_mind.attack_neighbors,Нападает на соседей,Attacks neighbors,-5,,Attacks neighbors,Útočí na sousedy,Ataca vizinhos,Ataca a los vecinos,Atakuje sąsiadów,攻击邻邦,攻擊鄰邦,隣人を襲う,이웃을 공격함,Greift Nachbarn an,Attaque les provinces voisines,Attacca i vicini,Komşularına saldırıyor,Támadja a szomszédait,Нападає на сусідів
opinion_mind.attack_traity,Агрессия против меня,Aggression against me,-130,,Aggression against me,Agrese proti mně,Agressão contra mim,Agresión contra mí,Agresja wobec mnie,对我的攻击,侵略我,私に対する攻撃,나에 대한 공격성,Aggression gegen mich,Agression à mon encontre,Aggressione nei miei confronti,Bana şiddet gösterdi,Ellenem támadt,Агресія проти мене
opinion_mind.attack_traity_neighbors,Агрессия против соседа,Aggression against a neighbor,-50,,Aggression against a neighbor,Agrese proti sousedovi,Agressão contra um vizinho,Agresión contra un vecino,Agresja wobec sąsiada,对邻邦的攻击,侵略鄰邦,隣人に対する攻撃,이웃에 대한 공격성,Aggression gegen einen Nachbarn,Agression à l'encontre d'une province voisine,Aggressione contro un vicino,Komşuya şiddet gösterdi,A szomszéd ellen támadt,Агресія проти сусіда
opinion_mind.attack_coward,Не явился на бой,Failed to show up for a duel,-30,,Failed to show up for a duel,Nepřítomnost v souboji,Não apareceu para um duelo,No se ha presentado a un duelo,Nie stawiono się na pojedynek,未能前来决斗,失約沒來決鬥,決闘の時間になっても現れなかった,결투에 나타나지 않음,Erschien nicht zu einem Duell,A fait défaut lors d'un duel,Ha disertato un duello,Düelloya gelmedi,Nem jelent meg a párbajon,Уникнення двобою
opinion_mind.vassal,Мой вассал,My vassal,20,,My vassal,Můj vazal,Meu vassalo,En vasallaje conmigo,Mój wasal,我的附庸,我的附庸,我が従属国,내 봉신,Mein Vasall,Mon vassal,Il mio vassallo,Vasalım,A vazallusom,Мій васал
opinion_mind.senior,Мой сеньор,My senior,20,,My senior,Můj nadřízený,Meu superior,Mi superior,Mój senior,我的领主,我的宗主,先達,내 상관,Mein Vormund,Mon suzerain,Il mio superiore,Üstüm,A feljebbvalóm,Мій сюзерен
opinion_mind.vassal_duty_did,Исполнил долг вассала,Fulfilled vassal's duty,10,,Fulfilled vassal's duty,Naplněná vazalská povinnost,Cumpriu dever do vassalo,Ha cumplido el deber del vasallaje,Spełniono obowiązek lenny,履行了附庸的职责,履行了附庸義務,従属国としての務めを果たした,봉신의 의무를 다함,Erfüllte die Vasallenpflicht,A accompli le devoir du vassal,Buon vassallo,Vasallık görevini yerine getirdi,Teljesítette vazallusi kötelességeit,Виконує обов'язки васала
opinion_mind.betrayal,Предал меня,Betrayed me,-50,,Betrayed me,Zradili mě,Traiu-me,Me ha traicionado,Zdradzono mnie,背叛了我,背叛了我,裏切った,나를 배신함,Verriet mich,M'a trahi·e,Mi ha tradito,Bana ihanet etti,Elárult,Зраджує мене
opinion_mind.betray_vassal_oath,Нарушил клятву вассала,Broke vassal's oath,-20,,Broke vassal's oath,Porušení vazalské přísahy,Desrespeitou sua vassalagem,Ha roto el juramento de vasallaje,Złamano przysięgę lenną,违反了附庸的誓言,違背了附庸的誓言,従属国の誓いを破った,봉신의 맹세를 깸,Brach den Vasalleneid,A brisé le serment vassalique,Giuramento di vassallo infranto,Vasallık yeminini bozdu,Megszegte vazallusi esküjét,Порушення васальної клятви
opinion_mind.king_bastard,Бастард не должен носить корону,Bastards should not wear a crown!,-15(короли),,Bastards should not wear a crown!,Bastardi by neměli nosit korunu!,Bastardos não usam coroas!,¡Los bastardos no deben llevar una corona!,Bękarci nie zasługują na koronę!,私生子没有资格戴上王冠！,私生子豈能稱王！,非嫡出子が被る王冠などない！,사생아가 왕관을 쓰면 안 되지!,Bastarde sollten keine Krone tragen!,Un bâtard ne devrait pas porter de couronne !,I bastardi non meritano la corona!,Piçler taç giyemez!,Fattyak ne viseljenek koronát!,Байстрюки не мають носити корони!
opinion_mind.king_woman,Женщина не должна носить корону,Women should not wear a crown!,-10(короли),,Women should not wear a crown!,Ženy by neměly nosit korunu!,Mulheres não usam coroas!,¡Las mujeres no deben llevar una corona!,Kobiety nie zasługują na koronę!,女人没有资格戴上王冠！,女人家豈能稱王！,女が被る王冠などない！,여자가 왕관을 쓰면 안 되지!,Frauen sollten keine Krone tragen!,Une femme ne devrait pas porter de couronne !,Le donne non meritano la corona!,Kadınlar taç giyemez!,Nők ne viseljenek koronát!,Жінки не мають носити корони!
opinion_mind.greetings_me,Поприветствовал меня,Greeted me,,,Greeted me,Pozdravili mě,Cumprimentou-me,Me ha saludado,Powitano mnie,向我致以问候,主動打了招呼,挨拶をした,나를 맞이함,Grüßte mich,M'a salué·e,Mi ha salutato,Beni selamladı,Köszöntött,Вітає мене
opinion_mind.loot_my_village,Разграбил мою деревню,Looted my village,72ч,,Looted my village,Vydrancovali mi vesnici,Saqueou minha aldeia,Ha saqueado mi pueblo,Splądrowano moją wioskę,掠夺了我的村庄,洗劫了我的村莊,私の村を略奪した,내 마을을 약탈함,Plünderte mein Dorf,A pillé mon village,Saccheggio del mio villaggio,Köyümü yağmaladı,Kifosztotta a falumat,Розграбування мого села
opinion_mind.friend_of_bandits,Связался с лесными бандитами,Makes deals with forest bandits,72ч,,Makes deals with forest bandits,Spolčení s lesními zbojníky,Negocia com bandidos,Hace tratos con bandidos del bosque,Dogaduje się z leśnymi bandytami,与森林强盗做交易,和林中劫匪勾結,森の盗賊と取引をする,숲속 도적단과 협상함,Macht Geschäfte mit Waldbanditen,Passe des accords avec les bandits de la forêt,Commercia con i fuorilegge,Orman haydutları ile anlaşma yapıyor,Lepaktál az erdei banditákkal,Домовляється з лісовими розбійниками
opinion_mind.enemy_of_bandits,Уничтожает лесных бандитов,Defeats forest bandits,72ч,,Defeats forest bandits,Poráží lesní zbojníky,Derrota bandidos da floresta,Derrota a los bandidos del bosque,Zwalcza leśnych bandytów,打败了森林强盗,擊潰了林中劫匪,森の盗賊を打ち倒す,숲속 도적단을 처치함,Besiegt Waldbanditen,A vaincu les bandits de la forêt,Sconfigge i fuorilegge,Orman haydutlarını yeniyor,Leveri az erdei banditákat,Перемагає лісових розбійників
opinion_mind.killed_wolves,Уничтожил стаю волков,Killed a wolf pack,72ч,,Killed a wolf pack,Zabití vlčí smečky,Matou uma matilha de lobos,Ha matado a una manada de lobos,Zabito watahę żerwilków,杀死了一群狼,宰了一群狼,オオカミの群れを殺した,늑대 무리를 처치함,Hat ein Wolfsrudel getötet,A tué une meute de loups,Ha ucciso un branco di lupi,Bir etbörü sürüsünü öldürdü,Leölt egy falkányi farkast,Винищено вовчу зграю
opinion_mind.kicked_out,Выгнал меня,Exiled me,72 - 12,,Exiled me,Vyhnali mě,Exilou-me,Me ha exiliado,Wygnano mnie,流放了我,流放了我,私を国外追放した,날 추방함,Verbannte mich,A provoqué mon exil,Mi ha esiliato,Beni sürgün etti,Száműzött engem,Виганяє мене
opinion_mind.take_title,Лишил меня титула,Deprived me of my title,,23.07.2024,Deprived me of my title,Zbavili mě titulu,Removeu meu título,Me ha arrebatado el título,Pozbawiono mnie tytułu,剥夺了我的爵位,革除了我的爵位,私の爵位を剥奪した,내 작위를 박탈함,Beraubte mich meines Titels,Plus de titre,Mi ha tolto il titolo,Beni ünvanımdan yoksun bıraktı.,Megfosztottak a címemtől,Позбавляє мене титулу
opinion_mind.kicked_out_my_lord,Выгнал моего лорда,Exiled my lord,,,Exiled my lord,Vyhnali mého lorda,Exilou meu senhor,Ha exiliado a mi señor,Wygnano mego lorda,流放了我的领主,流放了我的貴族,領主を国外追放した,내 영주를 추방함,Verbannte meinen Lord,A exilé mon seigneur/ma dame,Ha esiliato un mio nobile,Asilzademi sürgün etti,Száműzte az egyik nemesem,Виганяє мого вельможу
opinion_mind.discharge,Разрядка отношений,Relief of relations,,,Relief of relations,Úleva ze vztahů,Dispensa de relações,Alivio de relaciones,Zepsucie stosunków,缓和关系,關係和緩,関係の緩和,관계 해소,Entlastete Beziehungen,Libéré·e de ses relations,Distensione dei rapporti,Gerginlikten sonra rahatlama,Megszakítom a kapcsolatot,Полегшення стосунків
opinion_mind.free_lord_terror,Покушение на свободного лорда,Attempt on the free lord's life,-30,,Attempt on the free lord's life,Pokus o život svobodného lorda,Atentado contra o nobre livre,Atentado contra la vida de un señor libre,Próba morderstwa wolnego lorda,企图杀害自由领主,企圖殺害流浪貴族,自由領主の命をかける,자유 영주에 대한 살해 기도,Attentat auf den Freien Lord,A tenté de tuer un/une noble libre,Complottato contro nobile libero,Özgür asilzadenin canına kastedildi,Egy szabad nemes életére tört,Спроба вбивства вільного вельможі
